update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,units_m1,first_ack_m1,acks_m2,units_m2,first_ack_m2,acks_m3,units_m3,first_ack_m3,acks_m4,units_m4,first_ack_m4
455,7869.93763729704,65.48433176275809,0.9113747383112352,0.08676436380553618,0.00023261223540358222,0,7.649871269523617,0.8578610418789309,0.8434874077262977,4299,17,20.4590986950307,3.948831823159073,0.4027119335270429,1.5927661366747394,0.36506343863283275,63.115282,38,41,0.926829268292683,115,263,0.4372623574144487,464,1116,0.4157706093189964,7283,18197,0.4002308072759246
456,7822.265173084139,74.07089409344292,0.8166879678656198,0.18130363337593572,0.0,0,8.746045232914199,0.8600067376829451,0.6640092467300074,5477,25,21.525804411843062,4.0,0.39842589842589843,1.601368953363641,0.3686875,71.317574,0,0,nan,0,0,nan,0,0,nan,8049,20202,0.39842589842589843
457,7530.9285172886475,63.55981268650561,0.8900571428571429,0.10811428571428572,0.00022857142857142857,0,7.38023672276209,0.8637945415492844,0.8003001137227996,4375,19,22.188860265749845,3.988260407672335,0.40205571279606733,1.595587485987975,0.3677518601073682,61.210536,4,4,1.0,13,30,0.43333333333333335,98,209,0.4688995215311005,7982,19896,0.4011861680739847
458,4552.450649990923,57.2068409949558,0.6938651548896537,0.3037052034824863,0.0,0,8.696379353340038,0.8542012073284064,0.5067127978039524,4939,25,21.626531820369017,4.0,0.41720326765977894,1.5683636548947664,0.3496875,54.045444,0,0,nan,0,0,nan,0,0,nan,8682,20810,0.41720326765977894
459,7636.185841164485,67.27142917403677,0.8609761250792309,0.13754489752799492,0.0,0,7.290113766233134,0.8470630431737958,0.7530095345490806,4733,21,21.78192234418578,3.9945697869766112,0.40485369711348357,1.5960528328828598,0.3665623043206011,64.585236,0,0,nan,7,15,0.4666666666666667,47,103,0.4563106796116505,8137,20114,0.40454409863776475
460,9420.355450179508,90.41243609495338,0.8067264573991031,0.1905829596412556,0.00029895366218236175,0,8.089796934716881,0.8468908807309213,0.7019506489322517,6690,32,19.155685767641813,4.0,0.39821819629703364,1.609166495586122,0.372125,85.471574,0,0,nan,0,0,nan,0,0,nan,8001,20092,0.39821819629703364
461,6145.3110193561,54.593259253075026,0.861317747077577,0.1365568544102019,0.00026567481402763017,0,7.544745212075743,0.8654917421855692,0.7654972709570317,3764,16,21.929265644422607,3.9787759257475357,0.44643543428132204,1.5395759185924107,0.341224128109374,51.35248,1,1,1.0,44,82,0.5365853658536586,282,621,0.45410628019323673,8966,20112,0.4458035003977725
462,7771.10479872162,67.33101642365231,0.872858049502856,0.12460334250052887,0.0010577533319229956,0,7.028227158231239,0.8569405858469948,0.76572746784438,4727,20,20.195475361081122,3.991018495182817,0.40423627684964203,1.5993858751279426,0.3690352941176471,65.667812,1,1,1.0,9,22,0.4090909090909091,70,192,0.3645833333333333,8050,19897,0.4045836055686787
463,6094.2083104200065,60.4408293765349,0.7920596622066243,0.20574687431454267,0.00021934634788330776,0,7.211656838819374,0.8562069962967208,0.6519952583748856,4559,21,25.41647356358276,3.9994814169250414,0.4166747502182559,1.5783416031510564,0.3555465258025193,57.118246,0,0,nan,0,0,nan,7,16,0.4375,8584,20602,0.41665857683720026
464,7772.105825272572,68.94811413097085,0.8568818514007308,0.14047909053999189,0.0008120178643930166,0,7.082322772011427,0.8565244136151539,0.7311179589899055,4926,21,21.690293348286943,3.9950444587596663,0.4325712071304011,1.564621409921671,0.35352143550558984,66.992444,0,0,nan,0,2,0.0,70,145,0.4827586206896552,8860,20497,0.43225837927501587
465,8754.506615986074,78.04726122510976,0.8515330823023131,0.1466738389815313,0.00017930787161556393,0,8.973919114557395,0.8435014214512424,0.7426804383053862,5577,25,22.636700712278056,3.9988497959897917,0.40978517934568387,1.5928542386663955,0.3655517349171616,74.168914,0,0,nan,1,6,0.16666666666666666,4,9,0.4444444444444444,8312,20281,0.40984172378087863
466,8794.497930056727,75.013219158146,0.8854125928822839,0.11263199061400078,0.0007821666014861165,0,9.677883805887749,0.8414671286485818,0.8054534999014449,5114,22,21.890506454900784,3.997490464370453,0.39400320898515845,1.6182005671564836,0.3761261261261261,71.902928,0,1,0.0,1,3,0.3333333333333333,29,59,0.4915254237288136,7828,19881,0.3937427694783965
467,9474.529560371888,88.53877761657718,0.8231959552627547,0.17481231806342884,0.0,0,9.302658178659593,0.8489314768744298,0.6803987437042954,6527,30,23.537176558548524,4.0,0.3987742289102596,1.6106494305940289,0.37284375,85.699618,0,0,nan,0,0,nan,0,0,nan,8003,20069,0.3987742289102596
468,9004.03074404092,80.67631413809909,0.8496595075955998,0.14719748559455212,0.0005238344683080147,0,10.240953501678042,0.8624100198265292,0.7391898632118149,5727,25,21.119060012186598,3.998891753221144,0.42605136201939475,1.575132141958218,0.35847817931724396,76.810144,0,0,nan,0,0,nan,14,23,0.6086956521739131,8729,20498,0.4258464240413699
469,7135.764481511694,61.83833480775847,0.8758309591642925,0.12203228869895537,0.00023741690408357076,0,8.772745593034537,0.8485973892350009,0.7788247186875349,4212,18,23.788261333925853,3.9852819750049875,0.4095630995576321,1.5967135424715397,0.3663307086614173,58.66531,1,2,0.5,21,50,0.42,161,366,0.43989071038251365,8057,19701,0.4089640119790874
470,9317.185535860594,87.40279552802478,0.8203442879499218,0.17746478873239438,0.00015649452269170578,0,11.711571874036697,0.8474669409002148,0.6832711648378782,6390,29,22.349081834624755,3.999676447138689,0.400831559669356,1.6021318028082403,0.36859705597399756,82.889766,0,0,nan,0,0,nan,3,9,0.3333333333333333,8095,20194,0.40086164207190256
471,10055.100767329335,84.5886314158291,0.8949818934299018,0.10363855837213312,0.0,0,13.45043347917587,0.8486302898365783,0.7670027240486168,5799,23,22.3138719552716,3.9966725366729983,0.4152107393149738,1.5895183277794607,0.36600018774054255,82.88241,0,0,nan,3,7,0.42857142857142855,24,67,0.3582089552238806,8386,20188,0.41539528432732314
472,7018.414446770956,67.48672130361258,0.8047197640117995,0.19233038348082596,0.0007866273352999017,0,8.178718808317765,0.8507780318348969,0.6698731610781866,5085,24,25.177170184779747,3.9988463477185916,0.4194399648145433,1.5821100218418245,0.36025135996998686,64.007596,0,0,nan,0,1,0.0,6,23,0.2608695652173913,8577,20439,0.4196389255834434
473,8548.654163432071,68.2623713618756,0.9409368635437881,0.05747906766236705,0.00022629554197782303,0,11.250345256403945,0.8564608037206954,0.8723193347384197,4419,17,22.24506579685574,3.9208801786787157,0.4301797149349308,1.5711796388214172,0.3588504072577975,66.301054,58,71,0.8169014084507042,245,499,0.4909819639278557,672,1462,0.45964432284541723,7355,17332,0.4243595661204708
