update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep
95,4853.471533912182,53.56464336859207,0.7286012526096033,0.26838320575272556,0.0,0,10.032694524410239,0.8497152906158261,0.8638881372194595,4311,17,18.25189208725837,3.3935470058713046,2.799426934097421,7.0,12.24,0.0,0.2593797543574134
96,2553.5242747624607,88.15804755971739,0.5161057195952922,0.47976460871360727,0.0003097253768325418,0,14.941289103213597,0.8667663502565439,0.694792220855884,9686,27,18.019622528588457,3.8625715987945277,3.2054410882176434,9.0,39.009,0.0003096294767261843,0.3609230134467695
97,4827.00712066486,67.28504728991099,0.647432594882363,0.350163146144599,0.0001717327837884252,0,9.723641578020963,0.8338777796650929,0.8414737941945568,5823,30,18.441942395129022,3.7712523862949223,3.315915119363395,8.0,20.312,0.0,0.19386069118810473
98,3163.7787024599206,45.257294621284046,0.6397003745318353,0.35580524344569286,0.00024968789013732833,0,15.970409823899839,0.8437861230290289,0.8267257054391066,4005,17,15.733042745373798,3.3770829478192055,3.0472287275565964,8.0,13.689,0.0,0.23308598127061075
99,5920.39621595172,79.4283562453288,0.661344537815126,0.33515406162464983,0.0004201680672268908,0,11.33192428040222,0.8485635176569486,0.7585502006042479,7140,23,16.551060104015548,3.6919446630771042,2.99428208386277,7.0,23.584,0.0,0.3111989026948945
100,2869.038765525986,80.86221272279417,0.532699576222655,0.4626045126560531,0.0,0,9.754695638175235,0.8423109187858738,0.7225834363044302,8731,27,19.385690886899965,3.877421026866717,3.569769941947968,8.0,35.715,0.0,0.3211046320073072
101,2249.930361423456,74.38024806796582,0.5152985074626866,0.47947761194029853,0.0,0,11.598210043589399,0.8409750103957776,0.7518495458552483,8040,28,17.186984707299025,3.868699290386249,3.506879073135409,8.0,32.888,0.0,0.28679379532055244
102,926.754143825007,96.70563020321224,0.4749512587946088,0.5203865389505806,0.0,0,9.90690654869546,0.8506255047458398,0.6510523553818816,11797,30,15.909450499288765,3.909263933927819,3.711583080492593,9.0,51.854,0.00016950589032968896,0.3947923300278266
103,-646.7401115807683,83.56630464220666,0.4365987533724067,0.5594939064098986,9.303190994511117e-05,0,7.642336064454058,0.8471879310511508,0.6464538646509704,10749,27,17.54362623559293,3.9013351895618587,3.916471340294055,9.0,49.632,9.302325581395348e-05,0.3968641998168507
104,2096.825778758022,42.85610709206052,0.5708511650023775,0.42391821207798386,0.0,0,4.064240555400427,0.840018381629256,0.7482363060554384,4206,23,15.644727110299185,3.6859371848032274,3.4060807996668054,8.0,16.582,0.0,0.17895280786812587
105,5342.242100240337,84.93052329996178,0.6155672163918041,0.3799350324837581,0.0,0,12.605709975503556,0.8555638242355348,0.7754591800016577,8004,28,16.28487433163515,3.8297941830254714,3.135985386645017,8.0,27.982,0.0,0.28726491140297666
106,4468.20034261441,48.497317194673414,0.7382282521947326,0.25857940941739826,0.00026602819898909286,0,10.352656719526763,0.8564201572708394,0.8983818162726223,3759,21,16.563030601292034,3.4613527952524143,2.855855855855856,7.0,10.579,0.0,0.17565821718025587
107,3814.3148255152937,57.56673405865377,0.6299090733217256,0.3654478622557555,0.0005803830528148578,0,10.376612867226163,0.8584056411589538,0.8209335434326615,5169,31,18.448440609594577,3.790240083058008,2.951167076167076,8.0,17.383,0.0,0.16472344333880548
108,637.9856962750478,82.91243214677739,0.4706232631996824,0.5248114331083763,0.0001984914648670107,0,10.458774299142553,0.8579398828696074,0.6496586333546492,10076,28,17.848380327162694,3.9113120018056207,3.499578237030789,8.0,43.883,9.92358836955443e-05,0.3635003748108736
