update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate,p_arrival_ep
626,6027.048491952579,70.07084045242478,0.7035125686698851,0.28899617113367737,0.004328283669052772,0,12.599250086012582,0.8648106390457078,0.7921711212034156,6007,24,17.11250521092159,2.8693663234771924,2.8021769995267394,7.0,18.083,0.0,0.25488830727599415
627,5234.881873955271,79.58048778482524,0.6295094731378147,0.3627043861925772,0.003763301323643914,0,10.81560446760898,0.8806179783806277,0.7010477696230519,7706,32,17.4456013723851,2.9282911502035125,2.72562358276644,7.0,25.288,0.0,0.24273884982070246
628,7116.306909950964,59.387802235800805,0.8929880283410702,0.10359149767896408,0.002443195699975568,0,18.951625985718795,0.8570772116476137,0.933042213013393,4093,19,16.49266332351349,2.0980023845459734,2.124487004103967,5.0,6.451,0.0,0.2137257343459723
629,5407.333870314648,58.005376864000155,0.735538909696213,0.260715771951727,0.0014565126924677486,0,8.49699677566011,0.8521107899014919,0.831150458833593,4806,28,18.224196369367746,2.762089574873586,2.9035360678925035,7.0,13.903,0.0,0.17310131471553575
630,7040.979536611103,84.36591419779532,0.6773806348359562,0.31221659109095756,0.006801813817017871,0,9.273335764676927,0.8469774603813321,0.8388967314023557,7498,24,16.531190954280248,3.496562159689292,3.6845835794447725,8.0,26.214,0.0,0.31401653961121
631,6977.273871853009,72.379100504704,0.7415374353843589,0.2527930631982658,0.002334500583625146,0,8.378276175161059,0.8313091954569537,0.8460203966063796,5997,21,17.665099538605716,3.027254112203308,3.24870699347875,7.0,18.326,0.0,0.2886112068939746
632,7096.937122736761,77.49898003919442,0.7295433650015324,0.2660128715905608,0.0009193993257738277,0,11.822715167322954,0.8480150786974865,0.7864633228112506,6526,23,18.588621704659083,2.6260937136860365,2.7067842890149127,6.0,18.498,0.0,0.2845458820611366
633,6267.6479894984,88.31601585012909,0.6423218746282859,0.34970857618651124,0.0028547638872368263,0,10.060957139021259,0.8379691089909208,0.7318337027273567,8407,28,16.398502939348184,3.091826852538148,3.2183333333333333,7.0,29.291,0.0,0.2952449791559294
634,6302.1176549688325,68.55442923901441,0.7336236933797909,0.26236933797909406,0.0013937282229965157,0,13.80088057369008,0.8469003197483539,0.7931069681501075,5740,23,18.523636523300283,2.6199013874517902,2.707907860365709,6.0,16.274,0.0,0.24665218085977442
635,5710.8924079285425,60.78310427996083,0.7422824138617805,0.253734315873332,0.00019916351324437363,0,12.716734930438138,0.8420076460755511,0.8052392690361136,5021,24,15.14015401906153,2.5050603520168715,2.6157767641534746,6.0,13.675,0.0,0.20470472073347426
