update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate
536,5411.933625084098,97.24949342843486,0.5981531128984212,0.39549200675206037,0.0006950650382285771,0,21.57799484527766,0.8575897446593553,0.6711471122864371,10071,30,16.009297750981133,2.7750067244135006,2.610557768924303,7.0,34.353,0.0
537,6979.848278514201,104.65472189037274,0.6241919686581783,0.36807051909892263,0.0032321253672869736,0,14.40147208721923,0.8538442908656373,0.7479560685325582,10210,31,18.21655359135965,3.3713165071818696,3.166169778754119,8.0,35.688,9.793360101850946e-05
538,5664.882697023116,96.76357232478702,0.6089356916470708,0.38697474695838874,0.00030671710459053266,0,21.871460501610287,0.8694943326575746,0.6741257758197818,9781,30,18.193995197789913,2.792359431964424,2.557253190060443,7.0,32.267,0.0
539,4812.031635748222,89.68536132586534,0.5964931153184165,0.39941910499139416,0.0002151462994836489,0,14.267008646067243,0.8565149455154489,0.6431951756482599,9296,28,17.77246429182528,2.7057191133994185,2.728764652840397,6.0,32.448,0.0
540,5022.4629112967405,101.56572624782842,0.5806662312214239,0.4143883549500793,0.0013063357282821686,0,14.325538896887597,0.8506447272774097,0.6510789313875115,10717,32,17.33955368856075,3.015171491889881,2.806363490278001,6.0,38.326,0.0
541,3746.485907220566,84.35930751537566,0.5673984632272229,0.42403951701427,0.002414928649835346,0,11.277608413160845,0.8769237087580607,0.6152615497145896,9110,28,18.763739596363003,2.722900458753647,2.882182240278584,6.0,33.473,0.0
542,2903.2023999222256,55.26951055429841,0.5900105894811154,0.40575361807271443,0.0005294740557712672,0,15.808996889457072,0.885171339864593,0.6900073582353466,5666,17,17.334747649119254,2.1821028083600673,2.7427460364941667,7.0,19.873,0.0
543,6086.359652682687,76.6368967981557,0.6855118565644881,0.31116252168883746,0.0008675534991324465,0,19.191883524209988,0.865836496203344,0.7369105732108806,6916,21,16.51033954452049,2.0882689082412007,2.2398228221894114,6.0,19.423,0.00014457134595923088
544,6063.66969486163,101.42318745103098,0.6124008228034088,0.38123224605740036,0.002154961308649231,0,17.823074362092292,0.8701607581634099,0.676259742009574,10209,31,18.823664572900007,2.9818840995932323,2.6773832373640434,6.0,34.201,0.0
545,7685.29116705993,81.16931431053241,0.7552405368722667,0.24189413361483939,0.0,0,22.568770663157935,0.852754946350578,0.7921315413909756,6631,20,18.847529043393642,1.8060574260996458,1.8556309904153354,4.0,14.264,0.0
546,8909.283016581434,82.36493406933525,0.8174526788578762,0.17965992941931344,0.00016041065126724414,0,17.21869466411684,0.8597082387801788,0.8583589033097471,6234,19,17.978156080384842,2.2032818346422065,2.3873626373626373,5.0,13.6,0.0
547,9488.910197676618,96.92226474994958,0.7510553920941537,0.24075732378150186,0.004861199948829474,0,17.108301470352462,0.8745001613450512,0.8633101169982736,7817,24,17.844547751374606,3.1406702708590863,2.974621018565832,7.0,21.798,0.0
548,7578.040409674137,96.88836309037782,0.6693849813115869,0.32313965341488277,0.003284630195945181,0,16.866219591017256,0.8612543389622223,0.7789993132836869,8829,27,17.55262858721839,3.247904053579352,2.9981387478849406,8.0,28.386,0.0
549,6996.8216010020105,77.759840580139,0.7232876712328767,0.27290715372907154,0.0009132420091324201,0,25.10267057633144,0.8554873315329161,0.8091329309082127,6570,20,17.59987273580269,2.587749601390592,2.5946969696969697,6.0,17.882,0.0
