config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI02,PPO,30026,27,4575.3,66.31,63.37,0.6496,0.3395,2.809
CSI02,SUS+CQI@0.75,30027,22,5454.0,91.51,87.09,0.619,0.3748,3.981
CSI02,SU+CQI,30027,22,2441.6,78.23,76.39,0.5426,0.4536,1.0
CSI02,PPO,30027,22,5895.7,91.4,89.35,0.6359,0.3592,2.864
CSI02,SUS+CQI@0.75,30028,16,6574.9,73.38,67.18,0.7291,0.2542,3.87
CSI02,SU+CQI,30028,16,5566.5,67.39,64.9,0.7002,0.2929,1.0
CSI02,PPO,30028,16,7033.0,72.98,69.36,0.7573,0.2287,3.185
CSI02,SUS+CQI@0.75,30029,18,2700.9,62.26,55.59,0.5633,0.4245,3.934
CSI02,SU+CQI,30029,18,2369.0,58.71,55.69,0.5604,0.4348,1.0
CSI02,PPO,30029,18,3664.7,63.02,59.9,0.6121,0.3797,2.648
CSI02,SUS+CQI@0.75,30030,30,2221.4,104.54,97.3,0.5138,0.48,3.998
CSI02,SU+CQI,30030,30,-1489.7,86.83,85.05,0.4473,0.5493,1.0
CSI02,PPO,30030,30,2993.6,104.23,101.02,0.5365,0.4589,3.203
CSI02,SUS+CQI@0.75,30031,21,853.3,59.62,53.52,0.4936,0.4959,3.965
CSI02,SU+CQI,30031,21,591.1,56.42,53.76,0.4941,0.5019,1.0
CSI02,PPO,30031,21,1648.3,60.03,57.06,0.5302,0.4617,2.555
CSI02,SUS+CQI@0.75,30032,31,3595.6,87.22,80.04,0.5605,0.4287,3.997
CSI02,SU+CQI,30032,31,784.8,73.74,71.13,0.495,0.5015,1.0
CSI02,PPO,30032,31,3986.6,85.9,81.93,0.579,0.4124,3.168
CSI02,SUS+CQI@0.75,30033,23,5687.9,60.05,55.18,0.7608,0.224,3.874
CSI02,SU+CQI,30033,23,5127.7,56.34,53.83,0.7405,0.2545,1.0
CSI02,PPO,30033,23,6174.3,59.62,57.57,0.7985,0.1905,2.708
CSI02,SUS+CQI@0.75,30034,30,3836.5,111.49,104.58,0.5466,0.4489,3.991
CSI02,SU+CQI,30034,30,-1911.6,85.97,83.86,0.4384,0.5578,1.0
CSI02,PPO,30034,30,4300.1,109.69,106.66,0.5628,0.433,3.275
CSI02,SUS+CQI@0.75,30035,21,3791.7,50.51,47.38,0.6771,0.3152,3.784
CSI02,SU+CQI,30035,21,3947.7,50.28,48.4,0.6905,0.3052,1.0
CSI02,PPO,30035,21,4277.8,50.93,49.42,0.7116,0.2827,2.292
CSI02,SUS+CQI@0.75,30036,20,2089.8,37.02,34.16,0.6106,0.3752,3.612
CSI02,SU+CQI,30036,20,2376.8,37.48,35.64,0.6355,0.358,1.0
CSI02,PPO,30036,20,2478.1,37.39,35.86,0.6452,0.3472,2.017
CSI02,SUS+CQI@0.75,30037,18,2449.8,70.56,66.94,0.5489,0.4427,3.796
CSI02,SU+CQI,30037,18,1972.4,67.38,65.73,0.5385,0.4572,1.0
CSI02,PPO,30037,18,3045.6,71.75,69.63,0.5713,0.4228,2.563
CSI02,SUS+CQI@0.75,30038,29,919.0,105.66,98.86,0.487,0.5082,3.992
CSI02,SU+CQI,30038,29,-6262.1,75.56,72.37,0.3564,0.6388,1.0
CSI02,PPO,30038,29,629.0,101.6,97.28,0.4851,0.5098,3.725
CSI02,SUS+CQI@0.75,30039,20,2285.5,36.99,33.13,0.6247,0.3596,3.842
CSI02,SU+CQI,30039,20,2856.9,37.94,35.89,0.6765,0.3166,1.0
CSI02,PPO,30039,20,2879.8,37.37,35.55,0.681,0.3105,2.037
