world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
STORM2,SU+PF,40002,-17231.0,42.64,0.8087,1.0
STORM2,SU+Random,40002,-20299.6,29.83,0.8583,1.0
STORM2,SU+MW,40002,-10104.1,75.21,0.6892,1.0
STORM2,SU+EDF,40002,-23167.4,21.8,0.8992,1.0
STORM2,SUS+Deadline-PF,40003,-8609.3,70.72,0.6881,4.0
STORM2,SUS+PF,40003,-9266.3,68.65,0.6931,4.0
STORM2,SUS+Random,40003,-7963.1,73.83,0.6708,4.0
STORM2,SUS+MW,40003,3129.5,121.09,0.4812,4.0
STORM2,SUS+EDF,40003,-14864.1,45.44,0.7948,4.0
STORM2,SU+CQI,40003,-4034.7,97.29,0.5829,1.0
STORM2,SU+Deadline-PF,40003,-13630.1,51.22,0.7687,1.0
STORM2,SU+PF,40003,-14225.4,51.81,0.7655,1.0
STORM2,SU+Random,40003,-17103.1,38.7,0.8163,1.0
STORM2,SU+MW,40003,-5670.6,89.51,0.6203,1.0
STORM2,SU+EDF,40003,-22599.7,21.61,0.8984,1.0
STORM2,SUS+Deadline-PF,40004,-326.8,59.99,0.5551,3.998
STORM2,SUS+PF,40004,-79.2,61.47,0.544,3.996
STORM2,SUS+Random,40004,-1797.4,54.49,0.5939,3.999
STORM2,SUS+MW,40004,1940.1,70.54,0.4855,3.994
STORM2,SUS+EDF,40004,-6109.7,35.04,0.7326,3.999
STORM2,SU+CQI,40004,326.6,67.45,0.514,1.0
STORM2,SU+Deadline-PF,40004,-4171.0,44.24,0.67,1.0
STORM2,SU+PF,40004,-3995.8,46.33,0.653,1.0
STORM2,SU+Random,40004,-7441.0,31.87,0.754,1.0
STORM2,SU+MW,40004,-736.9,61.94,0.556,1.0
STORM2,SU+EDF,40004,-11694.2,17.17,0.866,1.0
STORM2,SUS+Deadline-PF,40005,-532.8,76.99,0.5456,3.997
STORM2,SUS+PF,40005,-463.7,77.81,0.5417,3.995
STORM2,SUS+Random,40005,-1030.5,74.76,0.5575,3.998
STORM2,SUS+MW,40005,2428.6,89.82,0.4784,3.987
STORM2,SUS+EDF,40005,-4366.3,59.46,0.6444,4.0
STORM2,SU+CQI,40005,-1244.6,78.23,0.547,1.0
STORM2,SU+Deadline-PF,40005,-6160.1,54.3,0.6772,1.0
STORM2,SU+PF,40005,-6488.2,53.93,0.6749,1.0
STORM2,SU+Random,40005,-8456.2,45.2,0.724,1.0
STORM2,SU+MW,40005,-2686.9,71.32,0.5901,1.0
STORM2,SU+EDF,40005,-10563.3,37.13,0.7756,1.0
STORM2,SUS+Deadline-PF,40006,1101.4,72.4,0.508,3.997
STORM2,SUS+PF,40006,1203.7,73.3,0.5009,3.996
STORM2,SUS+Random,40006,1877.3,75.97,0.4859,3.995
STORM2,SUS+MW,40006,6942.9,97.91,0.3529,3.97
STORM2,SUS+EDF,40006,-1195.0,61.91,0.5776,3.998
STORM2,SU+CQI,40006,1787.5,78.79,0.4762,1.0
STORM2,SU+Deadline-PF,40006,-3890.5,52.32,0.6438,1.0
STORM2,SU+PF,40006,-4266.6,52.13,0.6418,1.0
STORM2,SU+Random,40006,-6516.9,41.78,0.7035,1.0
STORM2,SU+MW,40006,719.2,73.79,0.5149,1.0
STORM2,SU+EDF,40006,-9868.0,29.79,0.7925,1.0
STORM2,SUS+Deadline-PF,40007,-4662.6,54.03,0.6496,3.999
STORM2,SUS+PF,40007,-4367.1,55.37,0.6393,3.999
STORM2,SUS+Random,40007,-5065.0,51.71,0.6587,4.0
STORM2,SUS+MW,40007,57.2,74.11,0.5287,3.994
STORM2,SUS+EDF,40007,-7568.8,40.41,0.7343,4.0
STORM2,SU+CQI,40007,-1790.7,68.62,0.5643,1.0
STORM2,SU+Deadline-PF,40007,-8061.9,39.88,0.7382,1.0
STORM2,SU+PF,40007,-8170.8,40.64,0.7309,1.0
STORM2,SU+Random,40007,-10512.8,30.27,0.7917,1.0
STORM2,SU+MW,40007,-2570.8,64.82,0.5915,1.0
STORM2,SU+EDF,40007,-12634.3,22.9,0.8459,1.0
