config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
STORM2,SU+PF,30020,30,-19321.8,55.33,45.28,0.18,0.812,1.0
STORM2,SU+Random,30020,30,-21142.2,52.58,36.1,0.1486,0.8446,1.0
STORM2,SUS+PF,30021,21,-319.1,92.03,82.11,0.454,0.5385,3.998
STORM2,SUS+Random,30021,21,214.3,93.95,84.16,0.4649,0.5287,3.998
STORM2,SU+PF,30021,21,-7339.8,61.77,55.1,0.3073,0.6859,1.0
STORM2,SU+Random,30021,21,-8932.3,58.39,46.94,0.2689,0.7243,1.0
STORM2,SUS+PF,30022,20,-5207.8,70.35,57.74,0.3389,0.6524,4.0
STORM2,SUS+Random,30022,20,-4560.1,73.2,59.83,0.3511,0.641,4.0
STORM2,SU+PF,30022,20,-9384.4,50.29,42.47,0.2511,0.7414,1.0
STORM2,SU+Random,30022,20,-11087.0,47.04,34.51,0.2078,0.7848,1.0
STORM2,SUS+PF,30023,28,-11102.5,85.87,64.95,0.2759,0.7164,4.0
STORM2,SUS+Random,30023,28,-11676.0,84.86,62.45,0.2647,0.7282,4.0
STORM2,SU+PF,30023,28,-16816.6,57.65,45.65,0.1961,0.7972,1.0
STORM2,SU+Random,30023,28,-19340.5,52.24,33.63,0.1506,0.8431,1.0
STORM2,SUS+PF,30024,19,-5499.0,66.25,53.2,0.3272,0.6636,4.0
STORM2,SUS+Random,30024,19,-5028.8,67.6,55.68,0.3395,0.6525,3.999
STORM2,SU+PF,30024,19,-9101.1,48.83,40.15,0.2499,0.7429,1.0
STORM2,SU+Random,30024,19,-11533.8,42.38,29.24,0.1874,0.8051,1.0
STORM2,SUS+PF,30025,22,-586.9,98.68,83.11,0.4374,0.5531,4.0
STORM2,SUS+Random,30025,22,-2083.0,94.41,76.57,0.405,0.5867,4.0
STORM2,SU+PF,30025,22,-8083.0,65.24,55.65,0.2958,0.6971,1.0
STORM2,SU+Random,30025,22,-11017.5,57.47,42.51,0.233,0.7602,1.0
STORM2,SUS+PF,30026,27,-13426.4,72.86,51.53,0.2273,0.7629,4.0
STORM2,SUS+Random,30026,27,-12090.5,77.95,57.46,0.2507,0.7403,4.0
STORM2,SU+PF,30026,27,-16465.7,55.49,42.4,0.1886,0.8039,1.0
STORM2,SU+Random,30026,27,-19443.5,47.02,29.86,0.1364,0.8563,1.0
STORM2,SUS+PF,30027,22,-4883.7,81.25,67.17,0.3552,0.6368,4.0
STORM2,SUS+Random,30027,22,-4260.8,83.85,69.49,0.3669,0.6256,4.0
STORM2,SU+PF,30027,22,-9637.1,59.7,49.58,0.2658,0.7278,1.0
STORM2,SU+Random,30027,22,-12074.1,52.5,39.0,0.2136,0.7797,1.0
STORM2,SUS+PF,30028,16,4298.8,88.84,77.87,0.5687,0.4187,3.982
STORM2,SUS+Random,30028,16,2674.3,82.94,71.0,0.521,0.4661,3.994
STORM2,SU+PF,30028,16,-673.3,66.08,58.91,0.4367,0.5582,1.0
STORM2,SU+Random,30028,16,-4003.2,55.8,44.59,0.3377,0.6564,1.0
STORM2,SUS+PF,30029,18,-2079.5,75.39,62.49,0.4012,0.5908,3.995
STORM2,SUS+Random,30029,18,-3402.3,70.04,57.41,0.3686,0.6241,3.998
STORM2,SU+PF,30029,18,-6072.6,56.34,47.04,0.307,0.6865,1.0
STORM2,SU+Random,30029,18,-9064.2,46.92,34.72,0.2299,0.7625,1.0
STORM2,SUS+PF,30030,30,-16667.4,74.42,52.68,0.2065,0.7834,4.0
STORM2,SUS+Random,30030,30,-14240.9,82.86,62.7,0.2438,0.7478,4.0
STORM2,SU+PF,30030,30,-19876.2,55.44,43.45,0.1713,0.8212,1.0
STORM2,SU+Random,30030,30,-22151.5,49.73,32.96,0.1345,0.8584,1.0
STORM2,SUS+PF,30031,21,-9450.4,59.88,44.83,0.2528,0.7381,4.0
STORM2,SUS+Random,30031,21,-10066.7,57.49,42.73,0.2397,0.7507,4.0
