config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
V60,SUS+CQI@0.75,30007,4215.2,57.48,55.48,0.672,0.3263,3.872
V60,SUS+CQI@0.80,30000,2867.2,51.98,47.5,0.6056,0.392,3.914
V60,SUS+CQI@0.80,30001,3086.9,81.66,75.66,0.5545,0.4418,3.923
V60,SUS+CQI@0.80,30002,2595.8,113.34,106.71,0.5192,0.4776,3.998
V60,SUS+CQI@0.80,30003,1777.2,39.09,34.81,0.5732,0.4247,3.887
V60,SUS+CQI@0.80,30004,4416.9,74.75,70.25,0.6164,0.3812,3.952
V60,SUS+CQI@0.80,30005,4551.1,71.87,66.87,0.631,0.3654,3.971
V60,SUS+CQI@0.80,30006,5491.9,103.52,97.55,0.5977,0.3982,3.991
V60,SUS+CQI@0.80,30007,4222.3,57.53,55.5,0.6722,0.3261,3.781
V60,SU+CQI,30000,3428.1,52.76,50.33,0.6401,0.3577,1.0
V60,SU+CQI,30001,1666.0,73.52,71.48,0.5227,0.4736,1.0
V60,SU+CQI,30002,-5223.4,80.59,78.59,0.3802,0.6163,1.0
V60,SU+CQI,30003,2175.9,39.39,37.08,0.6067,0.3912,1.0
V60,SU+CQI,30004,2289.1,64.86,62.87,0.5501,0.4472,1.0
V60,SU+CQI,30005,3663.5,66.3,64.5,0.607,0.3891,1.0
V60,SU+CQI,30006,-592.6,77.58,75.13,0.4605,0.5348,1.0
V60,SU+CQI,30007,4198.2,56.94,55.56,0.6727,0.3251,1.0
V60,PPO-HL,30000,3733.1,53.03,51.12,0.6586,0.3382,2.402
V60,PPO-HL,30001,4107.3,82.6,80.51,0.5924,0.4038,2.744
V60,PPO-HL,30002,3114.5,112.62,108.73,0.5323,0.4645,3.863
V60,PPO-HL,30003,2424.2,39.63,37.7,0.6259,0.3715,2.161
V60,PPO-HL,30004,5179.4,76.02,73.76,0.6483,0.3495,3.121
V60,PPO-HL,30005,5455.4,72.95,71.4,0.6736,0.3224,2.937
V60,PPO-HL,30006,5714.8,101.99,98.99,0.6079,0.3878,3.782
V60,PPO-HL,30007,4491.0,57.9,56.57,0.6881,0.309,2.526
P055,SUS+CQI@0.60,30000,4107.7,116.29,112.05,0.5528,0.4435,4.0
P055,SUS+CQI@0.60,30001,2784.7,94.05,88.54,0.5361,0.4603,4.0
P055,SUS+CQI@0.60,30002,-2882.2,128.53,120.93,0.4324,0.5633,4.0
P055,SUS+CQI@0.60,30003,-2320.3,84.25,77.94,0.4227,0.5737,4.0
P055,SUS+CQI@0.60,30004,3352.3,92.44,87.08,0.5494,0.4468,4.0
P055,SUS+CQI@0.60,30005,2934.3,116.39,110.44,0.5235,0.4724,3.977
P055,SUS+CQI@0.60,30006,35.1,122.51,115.18,0.4708,0.5245,4.0
P055,SUS+CQI@0.60,30007,5584.2,104.26,100.54,0.6034,0.3939,3.997
P055,SUS+CQI@0.65,30000,4142.5,116.47,112.28,0.5538,0.4427,4.0
P055,SUS+CQI@0.65,30001,2789.3,94.11,88.49,0.5361,0.4603,3.993
P055,SUS+CQI@0.65,30002,-2776.5,129.24,121.1,0.4333,0.5626,4.0
P055,SUS+CQI@0.65,30003,-2360.7,84.32,77.69,0.4211,0.5752,4.0
P055,SUS+CQI@0.65,30004,3412.8,92.69,87.33,0.5507,0.4453,3.995
P055,SUS+CQI@0.65,30005,3053.4,116.8,110.89,0.5258,0.4701,3.984
P055,SUS+CQI@0.65,30006,217.0,123.29,115.86,0.4738,0.5217,4.0
P055,SUS+CQI@0.65,30007,5618.9,104.39,100.64,0.6043,0.393,3.992
P055,SUS+CQI@0.70,30000,4200.6,116.73,112.46,0.5548,0.4416,4.0
P055,SUS+CQI@0.70,30001,2817.0,94.24,88.63,0.5367,0.4596,3.993
P055,SUS+CQI@0.70,30002,-2689.8,129.85,121.16,0.4341,0.5618,4.0
P055,SUS+CQI@0.70,30003,-2333.4,84.41,77.76,0.4217,0.5746,4.0
P055,SUS+CQI@0.70,30004,3494.9,93.09,87.57,0.5528,0.4436,3.998
P055,SUS+CQI@0.70,30005,3064.1,117.14,110.86,0.5252,0.4706,3.984
P055,SUS+CQI@0.70,30006,366.6,124.09,116.32,0.4755,0.5199,4.0
P055,SUS+CQI@0.70,30007,5590.2,104.21,100.53,0.6037,0.3936,3.986
P055,SUS+CQI@0.75,30000,4115.1,116.48,111.96,0.5528,0.4437,3.999
P055,SUS+CQI@0.75,30001,2744.0,94.13,88.23,0.5347,0.4618,3.985
P055,SUS+CQI@0.75,30002,-2630.0,130.18,121.36,0.4347,0.5612,4.0
P055,SUS+CQI@0.75,30003,-2332.1,84.33,77.71,0.4216,0.5747,4.0
P055,SUS+CQI@0.75,30004,3428.0,93.07,87.19,0.5505,0.4457,3.989
P055,SUS+CQI@0.75,30005,2931.6,116.84,110.19,0.5225,0.4734,3.991
P055,SUS+CQI@0.75,30006,559.0,124.78,116.83,0.4782,0.5171,4.0
P055,SUS+CQI@0.75,30007,5516.7,104.03,100.29,0.6017,0.3956,3.969
P055,SUS+CQI@0.80,30000,3918.4,115.86,111.15,0.5485,0.4478,3.993
P055,SUS+CQI@0.80,30001,2612.1,93.58,87.67,0.5317,0.4648,3.947
P055,SUS+CQI@0.80,30002,-2567.3,130.71,121.66,0.4353,0.5606,4.0
P055,SUS+CQI@0.80,30003,-2477.9,83.87,76.98,0.4182,0.5781,3.995
P055,SUS+CQI@0.80,30004,3251.9,92.5,86.52,0.5461,0.4502,3.971
P055,SUS+CQI@0.80,30005,2763.5,116.5,109.44,0.5189,0.4771,3.992
P055,SUS+CQI@0.80,30006,599.8,125.1,116.9,0.4786,0.5169,4.0
P055,SUS+CQI@0.80,30007,5472.9,103.88,100.08,0.6006,0.3967,3.932
P055,SU+CQI,30000,-1196.8,94.03,92.23,0.4553,0.5408,1.0
P055,SU+CQI,30001,-51.6,80.58,78.68,0.4768,0.5193,1.0
P055,SU+CQI,30002,-12592.8,87.75,85.68,0.3056,0.6896,1.0
P055,SU+CQI,30003,-5503.9,69.11,67.13,0.363,0.6329,1.0
P055,SU+CQI,30004,-1532.6,72.1,69.13,0.4353,0.56,1.0
P055,SU+CQI,30005,-3593.7,89.04,86.62,0.4103,0.5852,1.0
P055,SU+CQI,30006,-8362.9,87.26,84.58,0.3448,0.65,1.0
P055,SU+CQI,30007,711.6,84.43,82.54,0.4941,0.5025,1.0
P055,PPO-HL,30000,4758.0,117.16,115.12,0.569,0.4275,2.695
P055,PPO-HL,30001,3796.9,95.38,93.47,0.5666,0.43,2.726
P055,PPO-HL,30002,-2093.3,128.84,123.31,0.4442,0.5513,3.943
P055,PPO-HL,30003,-1596.9,84.02,81.79,0.4447,0.5517,2.75
P055,PPO-HL,30004,3927.6,92.74,89.86,0.5672,0.4287,3.375
P055,PPO-HL,30005,3635.3,117.18,113.27,0.538,0.4579,3.317
P055,PPO-HL,30006,536.9,122.4,116.2,0.4784,0.5168,3.927
P055,PPO-HL,30007,6327.1,105.82,104.06,0.6236,0.3737,2.954
CSI04,SUS+CQI@0.60,30000,3155.0,53.04,48.63,0.6198,0.3776,3.99
CSI04,SUS+CQI@0.60,30001,3215.2,81.86,76.39,0.5597,0.4362,4.0
CSI04,SUS+CQI@0.60,30002,2560.2,112.74,107.06,0.5201,0.4766,4.0
CSI04,SUS+CQI@0.60,30003,1967.7,39.47,35.9,0.5885,0.4091,3.991
CSI04,SUS+CQI@0.60,30004,4707.4,75.63,71.32,0.6271,0.3696,3.994
CSI04,SUS+CQI@0.60,30005,4769.8,72.16,68.0,0.641,0.3546,3.978
CSI04,SUS+CQI@0.60,30006,5208.7,101.83,96.93,0.5931,0.4028,3.96
