config,sched,seed,n_active,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI02,SU+PF,30009,16,4772.0,46.37,43.25,0.8017,0.1897,1.0
CSI02,SU+Random,30009,16,3528.5,42.43,37.19,0.6986,0.2926,1.0
CSI02,SUS+PF,30010,18,940.1,49.14,42.57,0.5001,0.4923,3.987
CSI02,SUS+Random,30010,18,249.0,46.57,39.65,0.4668,0.5256,3.996
CSI02,SU+PF,30010,18,372.1,45.96,40.46,0.4764,0.5179,1.0
CSI02,SU+Random,30010,18,-2074.2,37.99,29.41,0.3546,0.6383,1.0
CSI02,SUS+PF,30011,30,-10668.3,70.02,53.58,0.2593,0.7279,4.0
CSI02,SUS+Random,30011,30,-7423.2,81.75,66.65,0.3194,0.6709,4.0
CSI02,SU+PF,30011,30,-13699.2,53.45,43.06,0.2115,0.7792,1.0
CSI02,SU+Random,30011,30,-15510.1,48.93,34.96,0.1745,0.817,1.0
CSI02,SUS+PF,30012,17,1803.7,36.53,32.13,0.5829,0.4047,3.911
CSI02,SUS+Random,30012,17,1491.8,35.37,30.82,0.5592,0.4278,3.942
CSI02,SU+PF,30012,17,2042.6,36.85,33.15,0.6031,0.3892,1.0
CSI02,SU+Random,30012,17,616.5,32.24,26.57,0.4886,0.5025,1.0
CSI02,SUS+PF,30013,32,240.3,66.44,56.23,0.4622,0.5278,3.999
CSI02,SUS+Random,30013,32,-343.3,64.31,53.57,0.4401,0.5495,4.0
CSI02,SU+PF,30013,32,-2858.8,52.96,44.1,0.3663,0.6256,1.0
CSI02,SU+Random,30013,32,-5719.6,43.84,31.22,0.266,0.7252,1.0
CSI02,SUS+PF,30014,16,-4613.8,44.82,40.28,0.3232,0.6605,3.974
CSI02,SUS+Random,30014,16,-4782.5,44.05,39.62,0.3178,0.667,3.986
CSI02,SU+PF,30014,16,-5409.9,41.32,36.62,0.2963,0.6929,1.0
CSI02,SU+Random,30014,16,-7674.8,32.97,26.99,0.2212,0.7675,1.0
CSI02,SUS+PF,30015,30,-2617.4,73.2,60.79,0.3917,0.5984,3.999
CSI02,SUS+Random,30015,30,-1194.3,78.08,66.37,0.4256,0.565,3.999
CSI02,SU+PF,30015,30,-7292.5,52.02,42.93,0.2807,0.7107,1.0
CSI02,SU+Random,30015,30,-8323.1,50.37,37.53,0.2505,0.7417,1.0
CSI02,SUS+PF,30016,24,1050.9,93.15,85.19,0.4885,0.5057,3.993
CSI02,SUS+Random,30016,24,2379.7,98.04,90.09,0.516,0.4787,3.993
CSI02,SU+PF,30016,24,-6394.6,61.46,56.17,0.3255,0.668,1.0
CSI02,SU+Random,30016,24,-6867.0,63.74,51.84,0.3054,0.689,1.0
CSI02,SUS+PF,30017,26,-4183.3,65.28,52.91,0.3508,0.6418,4.0
CSI02,SUS+Random,30017,26,-3933.5,67.16,52.84,0.3527,0.6409,4.0
CSI02,SU+PF,30017,26,-7510.5,49.41,40.97,0.2726,0.7209,1.0
CSI02,SU+Random,30017,26,-9527.5,45.4,31.0,0.2123,0.7811,1.0
CSI02,SUS+PF,30018,24,2643.7,64.09,58.48,0.5621,0.4323,3.973
CSI02,SUS+Random,30018,24,1812.0,61.51,54.45,0.5257,0.4695,3.988
CSI02,SU+PF,30018,24,151.2,53.91,48.51,0.4681,0.5277,1.0
CSI02,SU+Random,30018,24,-1798.7,48.17,38.66,0.3817,0.6125,1.0
CSI02,SUS+PF,30019,28,1478.1,67.08,57.8,0.5025,0.4844,3.998
CSI02,SUS+Random,30019,28,991.6,65.46,55.06,0.4823,0.5068,4.0
CSI02,SU+PF,30019,28,-2484.9,50.43,42.04,0.3711,0.6187,1.0
CSI02,SU+Random,30019,28,-4091.4,46.38,34.11,0.3068,0.684,1.0
CSI02,SUS+PF,30020,30,796.1,70.3,61.52,0.4851,0.5085,4.0
CSI02,SUS+Random,30020,30,698.2,69.97,60.34,0.4781,0.5151,4.0
CSI02,SU+PF,30020,30,-2423.6,56.4,48.92,0.3895,0.6044,1.0
CSI02,SU+Random,30020,30,-4703.3,49.9,37.73,0.3094,0.6847,1.0
CSI02,SUS+PF,30021,21,3121.7,43.02,39.85,0.6664,0.3214,3.77
CSI02,SUS+Random,30021,21,2951.8,42.37,39.11,0.6547,0.3325,3.826
CSI02,SU+PF,30021,21,3217.9,43.14,40.32,0.6736,0.3174,1.0
CSI02,SU+Random,30021,21,2297.2,39.93,35.9,0.6054,0.3855,1.0
CSI02,SUS+PF,30022,20,2546.0,58.65,52.53,0.5651,0.4257,3.981
CSI02,SUS+Random,30022,20,2439.3,58.31,51.93,0.5582,0.4314,3.99
CSI02,SU+PF,30022,20,536.8,50.0,45.11,0.4847,0.5099,1.0
CSI02,SU+Random,30022,20,-1351.4,44.29,36.01,0.3938,0.5998,1.0
CSI02,SUS+PF,30023,28,-5796.4,88.29,69.55,0.3447,0.6496,4.0
CSI02,SUS+Random,30023,28,-6973.6,84.47,63.75,0.3195,0.6734,4.0
CSI02,SU+PF,30023,28,-11595.4,60.83,48.82,0.2459,0.7484,1.0
CSI02,SU+Random,30023,28,-14363.8,53.62,36.17,0.1896,0.8046,1.0
CSI02,SUS+PF,30024,19,-1378.8,65.83,55.02,0.4155,0.5785,3.999
CSI02,SUS+Random,30024,19,-2218.3,62.51,51.88,0.3893,0.604,3.999
CSI02,SU+PF,30024,19,-4355.8,51.89,43.61,0.3314,0.6634,1.0
CSI02,SU+Random,30024,19,-7270.9,42.79,30.43,0.2399,0.7538,1.0
