K,phase,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
48,test,SU+Random,30043,-29821.9,38.07,0.8716,1.0
48,test,PPO,30043,-1082.8,157.49,0.5309,3.824
48,test,SUS+CQI@0.75,30044,-4706.9,148.83,0.5736,4.0
48,test,SUS+PF,30044,-23989.4,60.64,0.8118,4.0
48,test,SUS+Random,30044,-24695.1,58.48,0.8182,4.0
48,test,SU+CQI,30044,-18675.4,96.0,0.7209,1.0
48,test,SU+PF,30044,-27685.2,51.58,0.8381,1.0
48,test,SU+Random,30044,-31604.9,34.65,0.8841,1.0
48,test,PPO,30044,-4439.6,149.31,0.5689,3.936
48,test,SUS+CQI@0.75,30045,5723.7,82.11,0.355,3.991
48,test,SUS+PF,30045,2343.8,66.22,0.4726,3.999
48,test,SUS+Random,30045,1220.1,61.09,0.5098,4.0
48,test,SU+CQI,30045,3534.6,74.42,0.4167,1.0
48,test,SU+PF,30045,-131.2,56.17,0.5465,1.0
48,test,SU+Random,30045,-4149.6,38.28,0.6781,1.0
48,test,PPO,30045,6120.1,83.64,0.3342,2.803
48,test,SUS+CQI@0.75,30046,4709.5,100.26,0.4246,3.998
48,test,SUS+PF,30046,-1307.4,71.01,0.5792,4.0
48,test,SUS+Random,30046,-4271.4,59.16,0.6474,4.0
48,test,SU+CQI,30046,-488.6,81.82,0.5308,1.0
48,test,SU+PF,30046,-5918.1,54.1,0.6727,1.0
48,test,SU+Random,30046,-10418.4,35.37,0.7768,1.0
48,test,PPO,30046,4829.4,100.23,0.414,3.494
48,test,SUS+CQI@0.75,30047,-8319.2,145.45,0.6079,4.0
48,test,SUS+PF,30047,-27374.0,59.48,0.8256,4.0
48,test,SUS+Random,30047,-27849.8,57.29,0.8312,4.0
48,test,SU+CQI,30047,-22222.7,94.01,0.7438,1.0
48,test,SU+PF,30047,-30814.7,50.26,0.8494,1.0
48,test,SU+Random,30047,-34603.3,35.38,0.889,1.0
48,test,PPO,30047,-8514.4,143.11,0.6093,3.985
48,test,SUS+CQI@0.75,30048,-1675.1,122.33,0.549,4.0
48,test,SUS+PF,30048,-17034.5,53.06,0.7885,4.0
48,test,SUS+Random,30048,-17137.1,53.12,0.7905,4.0
48,test,SU+CQI,30048,-10875.2,89.02,0.671,1.0
48,test,SU+PF,30048,-19435.7,47.52,0.8108,1.0
48,test,SU+Random,30048,-23427.2,31.33,0.8696,1.0
48,test,PPO,30048,-1663.7,121.4,0.5448,3.819
48,test,SUS+CQI@0.75,30049,3511.2,106.97,0.4603,4.0
48,test,SUS+PF,30049,-4126.5,71.84,0.6261,4.0
48,test,SUS+Random,30049,-5198.2,66.65,0.6504,4.0
48,test,SU+CQI,30049,-2685.3,85.27,0.5716,1.0
48,test,SU+PF,30049,-9168.8,53.51,0.7157,1.0
48,test,SU+Random,30049,-11904.8,40.77,0.7748,1.0
48,test,PPO,30049,3682.8,107.52,0.4491,3.698
48,test,SUS+CQI@0.75,30050,-4072.5,156.83,0.5663,4.0
48,test,SUS+PF,30050,-26455.2,60.0,0.8204,4.0
48,test,SUS+Random,30050,-22484.9,74.97,0.7799,4.0
48,test,SU+CQI,30050,-19150.9,101.28,0.7179,1.0
48,test,SU+PF,30050,-29154.7,54.65,0.8372,1.0
48,test,SU+Random,30050,-31155.6,44.31,0.8617,1.0
48,test,PPO,30050,-3730.7,158.15,0.5597,3.925
48,test,SUS+CQI@0.75,30051,-3320.1,160.21,0.557,4.0
48,test,SUS+PF,30051,-23644.9,69.99,0.7919,4.0
48,test,SUS+Random,30051,-23723.4,69.54,0.7942,4.0
48,test,SU+CQI,30051,-19262.5,101.28,0.7178,1.0
48,test,SU+PF,30051,-28425.5,56.71,0.8299,1.0
48,test,SU+Random,30051,-32096.4,40.73,0.8713,1.0
48,test,PPO,30051,-3292.4,159.8,0.5543,3.951
48,test,SUS+CQI@0.75,30052,-2176.2,156.89,0.5471,4.0
48,test,SUS+PF,30052,-22524.5,65.44,0.7971,4.0
48,test,SUS+Random,30052,-22459.9,65.7,0.7968,4.0
48,test,SU+CQI,30052,-17170.9,100.57,0.7062,1.0
48,test,SU+PF,30052,-26191.9,56.14,0.8241,1.0
48,test,SU+Random,30052,-30200.8,38.89,0.8709,1.0
48,test,PPO,30052,-1841.8,158.5,0.5411,3.847
48,test,SUS+CQI@0.75,30053,1441.2,118.15,0.5031,4.0
48,test,SUS+PF,30053,-11806.3,58.55,0.7392,4.0
48,test,SUS+Random,30053,-12426.1,55.23,0.7524,4.0
48,test,SU+CQI,30053,-7101.4,87.54,0.6325,1.0
48,test,SU+PF,30053,-14660.4,50.33,0.7737,1.0
48,test,SU+Random,30053,-18482.2,33.73,0.8399,1.0
48,test,PPO,30053,1561.0,117.95,0.4949,3.792
48,test,SUS+CQI@0.75,30054,2599.1,129.69,0.4856,4.0
48,test,SUS+PF,30054,-10643.4,69.02,0.7103,4.0
48,test,SUS+Random,30054,-11345.3,66.68,0.721,4.0
48,test,SU+CQI,30054,-6349.2,97.32,0.6124,1.0
48,test,SU+PF,30054,-14853.6,56.57,0.7607,1.0
48,test,SU+Random,30054,-18841.8,39.5,0.8248,1.0
48,test,PPO,30054,2725.5,129.77,0.4781,3.76
48,test,SUS+CQI@0.75,30055,4146.3,122.11,0.4551,4.0
48,test,SUS+PF,30055,-6404.2,73.31,0.6595,4.0
48,test,SUS+Random,30055,-7487.3,69.22,0.6782,4.0
