world,sched,seed,reward,goodput_mbps,deadline_miss_rate,mu_depth
P010,SUS+Deadline-PF,40007,1551.2,19.26,0.3373,3.142
P010,SUS+PF,40007,1549.6,19.27,0.3373,3.137
P010,SUS+Random,40007,1459.2,18.87,0.3483,3.213
P010,SUS+MW,40007,1580.4,19.44,0.3324,3.137
P010,SUS+EDF,40007,1479.0,18.88,0.3478,3.286
P010,SU+CQI,40007,2023.1,21.48,0.2607,1.0
P010,SU+Deadline-PF,40007,1920.6,20.78,0.2859,1.0
P010,SU+PF,40007,1887.1,20.67,0.2903,1.0
P010,SU+Random,40007,1492.1,18.75,0.3478,1.0
P010,SU+MW,40007,1788.0,20.26,0.305,1.0
P010,SU+EDF,40007,1380.9,17.73,0.3861,1.0
