update,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,retx_overflow_drop,mean_sinr_db,direction_corr,jain,n_arrivals,n_active,mean_speed_kmh,mu_depth,mean_delay,p95_delay,mean_qlen,buffer_overflow_rate
75,7330.4887949967,59.35490899625688,0.9149413818907458,0.08306310800698428,0.0002494387627837366,0,18.14668257098337,0.865259105600841,0.9545053876552368,4009,18,17.833184617708604,2.022159768464706,2.1284078516902945,5.0,5.829,0.0
75,7330.4887949967,59.35490899625688,0.9149413818907458,0.08306310800698428,0.0002494387627837366,0,18.14668257098337,0.865259105600841,0.9545053876552368,4009,18,17.833184617708604,2.022159768464706,2.1284078516902945,5.0,5.829,0.0
76,5564.301599687455,49.26681901200722,0.8495726495726496,0.14814814814814814,0.0008547008547008547,0,23.005185797379376,0.8596302889204608,0.933129115849708,3510,16,18.296553486127387,1.8915729202016762,2.056338028169014,5.0,6.07,0.0
77,4143.702744277884,68.90444100906018,0.6204819277108434,0.3767264178665883,0.0004407875404055245,0,15.400770076523626,0.8405717027378554,0.6636750592448304,6806,31,17.602325814661146,2.2300490560030806,2.209566658773384,5.0,21.153,0.0
78,4410.800985201572,66.93292684668123,0.6334530688739654,0.3629548649070748,0.0007808839606434484,0,17.306581532756184,0.853343298094481,0.7180178685458039,6403,29,18.974071534289514,2.411511658227741,2.385848126232742,6.0,19.932,0.0
79,5977.653060321126,50.85452584228721,0.87034444133296,0.12629515541865025,0.0022402688322598714,0,20.767173169672752,0.8539710215357093,0.9575737251294228,3571,16,20.318156586096542,2.3403894645654537,2.7258687258687258,6.0,7.604,0.0
80,6876.37412247067,75.46125019420859,0.7240611075747931,0.27196053469127945,0.0006365372374283895,0,17.085567233204706,0.8596590817612312,0.8148842341586184,6284,29,18.099809291303355,2.778614206340558,2.675604395604396,7.0,17.592,0.0
81,1824.6201516381925,37.17223573081427,0.5823856122718858,0.41417614387728113,0.0005289605924358636,0,14.451354142608334,0.8520563648470513,0.6528754339332663,3781,17,18.0394035969385,1.8815456436036138,2.4200726612170755,6.0,13.088,0.0
82,6520.996691267062,52.34752211332119,0.9176837922225376,0.08032926483110985,0.0,0,13.335699180955729,0.8592882367935756,0.9752445110239196,3523,16,16.55363332901107,2.117491326818161,2.422208475100526,6.0,5.93,0.0
83,8062.165472749614,81.68183979351458,0.7621737139368036,0.23248359029155855,0.0019844298580369408,0,17.292996238657736,0.8519471524369685,0.8546536000931239,6551,30,19.32304951502741,2.843201523423204,2.6959743641097536,7.0,17.288,0.0
84,5703.586799938164,59.891133521973444,0.7554449284380834,0.24185853557353246,0.00041485169052063887,0,12.126094508583467,0.8628813772494784,0.811544936972477,4821,22,16.60342314902631,2.0811160532465953,2.2331136738056014,5.0,11.416,0.0
85,5424.97972134009,68.39750978581455,0.6895473251028806,0.30814814814814817,0.0,0,18.41197254334139,0.8656350874967614,0.718782415841812,6075,27,16.712807680880164,2.0039786596712705,2.000954881833373,4.0,16.059,0.0
86,4781.423905560134,51.13588689707904,0.7503617945007236,0.2467438494934877,0.0,0,17.739380118205496,0.8599419949084476,0.7961226117415631,4146,19,15.591004032331186,1.750177335026086,2.0099646415943426,5.0,9.253,0.0
87,4442.598083237507,58.71928807869388,0.6595301250473664,0.337059492231906,0.0011367942402425162,0,19.635491612351892,0.8532299236510813,0.7937250184008146,5278,24,16.763813600972828,2.721402502398657,2.817006607296754,8.0,17.008,0.0
88,2661.176594094493,44.828663297767946,0.6064604185623294,0.3885350318471338,0.0015923566878980893,0,16.569036126159688,0.8582933681582701,0.7035077959246725,4396,20,19.307265538931823,2.284814983139575,2.7873218304576146,8.0,15.248,0.0
89,3865.3954967903414,62.697055439748155,0.6212842831335195,0.37526687469206765,0.0008211528986697323,0,17.30078717636188,0.8619753224941811,0.6718331078872032,6089,28,18.281555693853534,2.3079692119744872,2.305577583928099,6.0,19.307,0.0
90,4827.699274699413,53.462580373244116,0.7259963768115942,0.2719655797101449,0.00022644927536231884,0,15.478511677759808,0.8548310841023458,0.8189667848807207,4416,20,16.835213406399312,2.3456223028121492,2.574235807860262,7.0,11.928,0.0
91,6736.331209081534,77.75824340480729,0.7100840336134454,0.28781512605042014,0.0007503001200480192,0,18.82382983469547,0.8568847680986178,0.7897920577745471,6664,30,19.982071405956034,2.7708668875910214,2.607142857142857,6.0,18.962,0.0
92,6561.823018963414,65.55523233520961,0.7781243907194385,0.21934100214466756,0.0003899395593682979,0,17.20911447654396,0.8454343896720976,0.8324047080704302,5129,23,16.98247915073679,2.1963961305627167,2.240541217739915,5.0,11.684,0.0
93,6573.815189813808,77.21092872297557,0.7026300059772863,0.29243873281530186,0.0008965929468021519,0,13.81385317340172,0.8523906928253152,0.7764175328597235,6692,31,17.767838367869533,2.7508439878292594,2.5752871118672904,6.0,19.088,0.0
94,7657.320426879146,63.79426477483741,0.8865183840217885,0.11053109396277803,0.0006808896958692692,0,10.25503145702472,0.8476684339099809,0.9583068321695282,4406,20,18.962295236499216,2.5518261586624584,2.6530977982590884,6.0,8.845,0.0
95,5633.623370448748,51.42263816979019,0.8259249401117913,0.17088102209209477,0.0007985094490284802,0,13.543240477572187,0.850231923753543,0.9201237012886048,3757,17,18.25189208725837,2.245112794679096,2.4447309055752497,6.0,8.081,0.0
