scheduler,seed,reward,thr_mbps,sinr_db,comp,miss,retx_drop,total_fail,depth,jain,jain_allk
SU+DPF,10003,5666.5529404692115,59.97905951614376,21.500292481259965,0.7425827107790822,0.2544290288153682,0.0,0.2544290288153682,1.0,0.6721524628100268,0.56712864049596
SU+PF,10003,4995.482796011703,63.55268329075072,21.843666388111004,0.6877133105802048,0.30887372013651876,0.0,0.30887372013651876,1.0,0.6573912318601876,0.5546738518820333
SU+Rnd,10003,1986.406886598759,44.86522805019737,19.328152998578634,0.5531091217033631,0.44277764335833536,0.0,0.44277764335833536,1.0,0.7228843361778371,0.60993365865005
PPO,10003,9263.863232535854,83.84988687184207,14.518129418052911,0.8384131591678762,0.15981293339783906,0.0003225286244154169,0.16013546202225448,2.1352575768132236,0.6597289332231023,0.5566462874069925
SUS+CQI,10004,12592.338815271485,106.15696697699707,11.015717576884576,0.8816114003836668,0.10359002466429158,0.012606193477665114,0.1161962181419567,3.9678775596323472,0.7944940088506075,0.7944940088506075
SUS+DPF,10004,12463.315026989665,105.15742553249282,11.071162773294569,0.8781775246562022,0.10612585081261286,0.014168634532573969,0.12029448534518683,3.9789261562028195,0.7909425715240007,0.7909425715240007
SUS+PF,10004,12106.451096130477,104.03008113448597,10.945595770417182,0.8672873818788216,0.11575875486381323,0.01584213451917732,0.13160088938299055,3.9775165619579766,0.8006370051221402,0.8006370051221402
SUS+Rnd,10004,9439.142330211911,87.07415501974556,10.068285868786845,0.8082127123977344,0.1628382630585274,0.025959723096286972,0.18879798615481436,3.992435692869731,0.7989315626165014,0.7989315626165014
SU+CQI,10004,9347.244597203753,95.74067259940462,26.55802590444146,0.7753651796288985,0.2227924726937755,0.0,0.2227924726937755,1.0,0.535199381711069,0.535199381711069
SU+DPF,10004,7803.089359051401,74.29923799800746,25.20608929163215,0.7899251688264282,0.2062420149662347,0.0,0.2062420149662347,1.0,0.7482435336492667,0.7482435336492667
SU+PF,10004,6639.418353859151,78.74277353396567,25.576169649524925,0.7120578778135048,0.2853697749196141,0.0,0.2853697749196141,1.0,0.7288628081937045,0.7288628081937045
SU+Rnd,10004,3442.9546930520896,57.93186039528095,23.236521939221724,0.605127186009539,0.3914944356120827,0.0,0.3914944356120827,1.0,0.8098818899412304,0.8098818899412304
PPO,10004,12855.351414709126,109.27897016302153,16.022591535790852,0.8800518134715026,0.11826424870466322,0.00038860103626943003,0.11865284974093265,2.5798871697585963,0.7242980593737323,0.7242980593737323
SUS+CQI,10005,8218.744225654471,68.50064575966648,9.937727908322097,0.8957253886010362,0.09067357512953368,0.011873920552677029,0.10254749568221071,3.800162950823464,0.795365809091704,0.47224844914819925
SUS+DPF,10005,8022.647011255167,67.41515299822615,9.593287737315272,0.8882839721254355,0.09603658536585366,0.014590592334494773,0.11062717770034844,3.821724938775959,0.801059656453012,0.47562917101897584
SUS+PF,10005,7950.1862284948165,66.97041106720425,9.756891178051296,0.88638353765324,0.09632224168126094,0.01466725043782837,0.11098949211908932,3.8030446081600666,0.7998723633377338,0.47492421573177945
SUS+Rnd,10005,7260.6319941839865,62.33177609250238,9.241312250863452,0.8676232353621847,0.11015968525804212,0.01967137236750752,0.12983105762554964,3.859637110135055,0.8002111546422763,0.4751253730688514
SU+CQI,10005,8994.424194681491,77.16503170819966,28.280823225025877,0.8823091247672253,0.11657355679702049,0.0,0.11657355679702049,1.0,0.7085828016673872,0.4207210384900109
SU+DPF,10005,8220.043303381504,69.36872444441953,27.9797643879812,0.8863873254117156,0.11215342922659996,0.0,0.11215342922659996,1.0,0.7213852020742264,0.42832246373157173
SU+PF,10005,8008.715214800077,71.3829478809547,28.081118599606164,0.8578558594529846,0.1407466560191655,0.0,0.1407466560191655,1.0,0.7223723758674623,0.4289085981713058
SU+Rnd,10005,4982.726345378208,51.221636488727945,26.090707274737326,0.7721619476051865,0.2259857105054247,0.0,0.2259857105054247,1.0,0.7858722825110458,0.4666116677409334
PPO,10005,9497.74940274219,79.02545394827557,22.825390097557637,0.9017775334432838,0.09730621220450797,0.0,0.09730621220450797,1.545104837851705,0.7456334955296682,0.4427198879707406
SUS+CQI,10006,6088.132692178285,56.84221765242852,6.924172699815461,0.8165467625899281,0.13573141486810553,0.04460431654676259,0.1803357314148681,3.84479238639875,0.6926358822022448,0.41125255505758274
SUS+DPF,10006,5679.5914669687545,55.68535647097062,6.862511092577426,0.7896370582617,0.1518624641833811,0.05659025787965616,0.20845272206303725,3.8779498238001717,0.668798466533398,0.39709908950420514
SUS+PF,10006,5613.110867526602,55.68500136346182,6.732472363793976,0.7826809015421115,0.1568208778173191,0.05907473309608541,0.2158956109134045,3.8936019438071803,0.6753664461106186,0.4009988273781798
SUS+Rnd,10006,5111.4118302880415,51.4382902712221,6.362921843627635,0.7704876822523882,0.16993464052287582,0.05681246857717446,0.22674710910005028,3.8931546166914934,0.678635826769237,0.40294002214423463
