scheduler,seed,reward,thr_mbps,sinr_db,comp,miss,retx_drop,total_fail,depth,jain,jain_allk
SU+Rnd,10004,3286.427256894192,57.72598383975038,23.19788963920039,0.5941199684293607,0.40074980268350435,0.0,0.40074980268350435,1.0,0.8230196261115724,0.8230196261115724
PPO,10004,13112.502643849391,109.8541535646893,14.843480866979819,0.8862298438699769,0.11108267212695162,0.0010238034297414896,0.11210647555669312,2.943272583844956,0.7525370970211427,0.7525370970211427
SUS+CQI,10005,8006.595487904766,67.36569018578058,9.654846638870168,0.885949696444059,0.09800520381613183,0.014310494362532523,0.11231569817866435,3.8006658290987203,0.8024464128294175,0.4764525576174667
SUS+DPF,10005,7986.726939136583,66.89496829146184,9.70055317686972,0.8903027643703378,0.09346204475647214,0.01491882404563405,0.10838086880210619,3.822999605426855,0.8018806734415997,0.47611664985594965
SUS+PF,10005,7993.3670627721085,67.57285912959182,9.87190385070979,0.885421213443911,0.09690091663029245,0.015931907463989523,0.11283282409428197,3.8054706024578224,0.8002269992300439,0.47513478079283855
SUS+Rnd,10005,7440.088722010271,63.68577085871623,9.432629736158804,0.8717539863325741,0.10728929384965831,0.0193621867881549,0.1266514806378132,3.8417868953821395,0.7971681660795835,0.4733185986097528
SU+CQI,10005,9049.138906049318,77.51499383050817,28.106572500271948,0.8829394387001477,0.11613737075332349,0.0,0.11613737075332349,1.0,0.7081253193304142,0.4204494083524334
SU+DPF,10005,8261.343450911323,70.27404701701754,28.221918084214796,0.8827914682128805,0.11555187409401532,0.0,0.11555187409401532,1.0,0.7184610913403352,0.426586272983324
SU+PF,10005,8039.046614102489,72.04383332778312,28.270272275917794,0.856658692185008,0.1423444976076555,0.0,0.1423444976076555,1.0,0.7142670770789438,0.4240960770156229
SU+Rnd,10005,5176.093221434374,52.18627663978992,26.393776123403654,0.7815610267155579,0.21608171817705604,0.0,0.21608171817705604,1.0,0.7786520681524527,0.462324665465519
PPO,10005,9220.345574468382,76.2542543856485,21.776156873485167,0.9029162746942615,0.09576669802445908,0.0,0.09576669802445908,1.7428031974602236,0.7563620644814646,0.4490899757858695
SUS+CQI,10006,6092.803255216493,57.679011359116366,6.999991060189306,0.8092540132200189,0.1388101983002833,0.05028328611898017,0.18909348441926346,3.8533863586488097,0.6920026095588214,0.41087654942555024
SUS+DPF,10006,5690.336115421102,55.698263299516405,6.832926562292715,0.7883610451306413,0.14299287410926365,0.0665083135391924,0.20950118764845604,3.87401410261217,0.6771786778451445,0.40207483997055443
SUS+PF,10006,5802.002929690766,56.227949755176176,6.916876024064445,0.7935012950317871,0.13538968683776784,0.06804803390628679,0.20343772074405464,3.8706848014524216,0.6756584270559715,0.4011721910644829
SUS+Rnd,10006,5106.467097868448,51.80384275850907,6.42649429715595,0.767762992719056,0.15967863419533015,0.07105197087622395,0.2307306050715541,3.9048029405024365,0.6777558567333696,0.40241753993543805
SU+CQI,10006,7781.61473196783,71.12460996536457,19.96161597093832,0.8410236525785189,0.15742535866614968,0.0,0.15742535866614968,1.0,0.6295124274530766,0.37377300380026424
SU+DPF,10006,6486.30331143475,61.13896957771229,19.487844093763943,0.8201082055906221,0.17808836789900812,0.0,0.17808836789900812,1.0,0.6486847719194287,0.3851565833271606
SU+PF,10006,6413.737119595453,62.86180091489616,19.737369513503896,0.8012009435985417,0.19644006004717993,0.0,0.19644006004717993,1.0,0.6419863721545689,0.38117940846677517
SU+Rnd,10006,3275.1378635308683,42.003322038110475,17.439863857061425,0.6827285921625544,0.3149492017416546,0.0,0.3149492017416546,1.0,0.6769906664727868,0.4019632082182171
PPO,10006,7398.895047892321,66.48319906419611,16.97897364171284,0.8455449563628983,0.15364319058250456,0.0,0.15364319058250456,1.5202838345109413,0.6514784789201362,0.38681534685883096
SUS+CQI,10007,7139.173267385732,59.04581851753733,6.875682757667536,0.9029567854435178,0.07707859489512257,0.017690169320192066,0.09476876421531463,3.394377328194785,0.8427936252451317,0.447734113411476
SUS+DPF,10007,7053.625229966485,58.759924377677905,6.81232789422999,0.8953077699293642,0.08375378405650857,0.01866801210898083,0.10242179616548941,3.425132918021977,0.8404566568914402,0.4464925989735776
SUS+PF,10007,7099.12251570825,58.73300461625356,6.936143941199275,0.9018015732047704,0.07942146663283431,0.01700076122811469,0.096422227860949,3.390230770393876,0.8425086617345984,0.44758272654650544
SUS+Rnd,10007,6578.648131486585,55.69959661374136,6.331751224973178,0.8804519180241723,0.08906988964792432,0.02837624802942722,0.11744613767735154,3.4983412964226757,0.8405655412298679,0.44655044377836745
SU+CQI,10007,7640.110854576128,65.41368239191279,18.342527018490266,0.881993006993007,0.11691433566433566,0.0,0.11691433566433566,1.0,0.7256303268892661,0.38549111115992263
SU+DPF,10007,7091.548065398849,59.85108503293321,18.359709881288097,0.8925373134328358,0.1054726368159204,0.0,0.1054726368159204,1.0,0.776641683212641,0.4125908942067157
SU+PF,10007,6701.761374854221,60.45111071850346,18.28057851013027,0.8519134775374376,0.1466603280247207,0.0,0.1466603280247207,1.0,0.7767796315872219,0.41266417928071164
SU+Rnd,10007,4305.712653878582,44.51155030818209,16.520357706083168,0.7699846860643186,0.22725880551301683,0.0,0.22725880551301683,1.0,0.8159071061031837,0.4334506501173164
PPO,10007,7968.478150960107,65.45593281318682,13.288173895558108,0.9090102086107412,0.08988015978695073,0.0,0.08988015978695073,1.8985277392733497,0.7887570543149549,0.41902718510481984
SUS+CQI,10008,6852.538030009111,68.23664889560123,8.769808396499656,0.7776076555023923,0.1829665071770335,0.038086124401913876,0.2210526315789474,3.94734175821912,0.639308605526736,0.4994598480677626
SUS+DPF,10008,5567.842940179643,60.64851207226327,8.491423484232874,0.7323450689726169,0.20918262301832408,0.05600164710726786,0.2651842701255919,3.9696076149357022,0.6131232003133914,0.47900250024483715
SUS+PF,10008,5526.861406751176,61.416744893254666,8.554265544045665,0.7265545878063602,0.2070083046384444,0.06420903382621025,0.2712173384646547,3.97100684631001,0.6140905668892083,0.47975825538219397
SUS+Rnd,10008,4664.38301257869,55.699839930672766,7.99834831052809,0.6934543097861309,0.24389717001512207,0.059840138258803195,0.30373730827392525,3.9802244789258827,0.6135678777153848,0.47934990446514436
SU+CQI,10008,6952.3349250892525,72.93347194450472,21.913309550372002,0.7655873234584912,0.23269032035825007,0.0,0.23269032035825007,1.0,0.5317643094443052,0.4154408667533632
SU+DPF,10008,5094.080243981596,55.60007625588294,21.192773695562728,0.7344379758172862,0.2626511419614868,0.0,0.2626511419614868,1.0,0.588124447917109,0.4594722249352415
SU+PF,10008,4548.050954610304,58.742957662131104,21.46038973035321,0.6846736239001432,0.31246163290362183,0.0,0.31246163290362183,1.0,0.5756744203754655,0.4497456409183322
SU+Rnd,10008,1562.2984574878928,39.74136488552846,19.035851306065847,0.5419270833333333,0.45364583333333336,0.0,0.45364583333333336,1.0,0.6388704540263626,0.49911754220809595
PPO,10008,7622.730755666275,72.94483252349656,15.95245975361867,0.8053549409899595,0.19235511713933415,0.0007045974986788797,0.19305971463801302,2.0148821490302744,0.6108489979394928,0.47722577964022866
SUS+CQI,10009,11104.34948914277,96.05245517408181,10.697544825821353,0.8624136410407174,0.11450830515948845,0.02072615022784066,0.13523445538732912,3.934799840344603,0.7587271214517048,0.7113066763609734
SUS+DPF,10009,10200.987933186476,90.78595075933362,10.782217861437909,0.8379167306805961,0.12997388231679213,0.029497618681825166,0.1594715009986173,3.967747025266412,0.7403986716012083,0.694123754626133
SUS+PF,10009,10153.116101050779,91.23586124436521,10.524666807691885,0.8340192043895748,0.13168724279835392,0.03139765279682975,0.1630848955951837,3.9662924528242707,0.7496466695297399,0.7027937526841311
SUS+Rnd,10009,8528.512591107115,81.14813758693741,9.973457405434917,0.7939094650205761,0.16444444444444445,0.03917695473251029,0.20362139917695474,3.985033208086709,0.7361527083877099,0.690143164113478
SU+CQI,10009,8819.734119198347,89.96703143245436,25.443141216788945,0.7770889108073834,0.22065661547132592,0.0,0.22065661547132592,1.0,0.5427315587788437,0.508810836355166
SU+DPF,10009,7021.889336867491,68.0387341083488,24.309480762658318,0.7820587662969449,0.21424401634559254,0.0,0.21424401634559254,1.0,0.7197969818715791,0.6748096705046055
SU+PF,10009,6179.191380471485,73.45784783368342,24.74942581251652,0.7114597544338336,0.2854706684856753,0.0,0.2854706684856753,1.0,0.7012045535433534,0.6573792689468935
SU+Rnd,10009,3002.3413424359574,53.350729437305354,22.14740325486894,0.595403752899009,0.4010120177103099,0.0,0.4010120177103099,1.0,0.765273773099671,0.7174441622809417
PPO,10009,12015.872202487742,102.75542099082521,15.305745455645383,0.8762125973493646,0.12064489684383112,0.001093045498018855,0.12173794234184997,2.6603205558055945,0.7371733823573124,0.6911000459599804
SUS+CQI,10010,3763.159385451294,40.85133252494837,6.143118423850399,0.7353491271820449,0.21820448877805487,0.04395261845386534,0.2621571072319202,3.851652422647656,0.6235259416225444,0.3117629708112722
SUS+DPF,10010,3695.5125866099374,40.89546394023614,6.367440220280284,0.7270775835633241,0.21987120515179392,0.050291321680466114,0.27016252683226005,3.8545582128707743,0.5993422928619965,0.29967114643099824
SUS+PF,10010,3732.3753301432052,41.23415750128579,6.34564644662615,0.7295809115937596,0.22086264912817374,0.04741511165494035,0.2682777607831141,3.862946780938569,0.6001829263132069,0.30009146315660346
SUS+Rnd,10010,3203.9293582551372,37.84845745199143,5.949936846763021,0.6991037131882202,0.2323943661971831,0.06594110115236876,0.29833546734955185,3.892770158351239,0.5914124879267609,0.29570624396338047
SU+CQI,10010,5382.48025431432,52.27049985274112,18.3766845258762,0.8046934140802422,0.19354024728740854,0.0,0.19354024728740854,1.0,0.5912115591709634,0.2956057795854817
SU+DPF,10010,4497.9679518766925,46.483504461835054,18.18992981432537,0.7708095781071835,0.2266248574686431,0.0,0.2266248574686431,1.0,0.585867296229508,0.292933648114754
SU+PF,10010,4702.024758671246,49.20319920558752,18.528792343592407,0.7704301075268817,0.22822580645161292,0.0,0.22822580645161292,1.0,0.5737608464632535,0.28688042323162677
SU+Rnd,10010,2104.3171841364438,32.303128138600194,16.500638831101522,0.6294545454545455,0.36654545454545456,0.0003636363636363636,0.3669090909090909,1.0,0.6124398530319605,0.30621992651598023
PPO,10010,5083.509420626988,49.002156102099406,15.540918618761602,0.8049105951427808,0.19295436349079265,0.0,0.19295436349079265,1.5134622627785437,0.5988127323700232,0.2994063661850116
SUS+CQI,10011,8890.963191340801,76.25675461311984,10.195227038608435,0.8724365004703669,0.10404515522107244,0.022577610536218252,0.1266227657572907,3.8394547851704846,0.7768385988997486,0.5340765367435768
SUS+DPF,10011,8842.349293050425,76.07637362145948,10.262922270736816,0.8706618623174663,0.10240849611227006,0.025981414754409255,0.1283899108666793,3.8477564005654874,0.771582861803954,0.5304632174902185
SUS+PF,10011,8733.980072463122,75.61540062161495,10.181088997804608,0.8644549763033176,0.10748815165876777,0.026540284360189573,0.13402843601895734,3.845613910544243,0.7760161904101297,0.5335111309069641
SUS+Rnd,10011,8043.827430296361,70.51476930652814,9.707090264861133,0.8542003231017771,0.1147011308562197,0.029079159935379646,0.14378029079159935,3.888960701882637,0.7708170778183296,0.5299367410001016
SU+CQI,10011,8992.458389426978,80.56749428632541,23.988981168922955,0.8500256805341551,0.14860469097757234,0.0,0.14860469097757234,1.0,0.6573000159084917,0.4518937609370881
SU+DPF,10011,7797.17250974368,68.22180429076758,23.67941728290517,0.8610062893081761,0.13752620545073374,0.0,0.13752620545073374,1.0,0.7224759198978491,0.49670219492977113
SU+PF,10011,7331.490143947482,70.76739599043661,23.908417970589312,0.810542695973546,0.1882902159113013,0.0,0.1882902159113013,1.0,0.7122444271441888,0.48966804366162975
SU+Rnd,10011,4593.438987101582,52.20590401926078,21.886054078650645,0.7252341054706752,0.27180877279448,0.0,0.27180877279448,1.0,0.7734241834836179,0.5317291261449876
PPO,10011,10009.374674093277,83.93826943251769,18.300985098874722,0.8920521945432978,0.10625317742755465,0.0001694628029147602,0.1064226402304694,1.9515328847535225,0.7419142381682764,0.5100660387406901
SUS+CQI,10012,4697.069082125239,47.26637355595343,5.605012870529023,0.7791891891891892,0.18297297297297296,0.035405405405405405,0.21837837837837837,3.866694843822044,0.6099876507063768,0.3240559394377627
SUS+DPF,10012,4497.4526040861565,45.863469080501716,5.387973273908905,0.772877618522602,0.185226019845645,0.03996692392502756,0.22519294377067256,3.882245780351321,0.6089153555647902,0.32348628264379464
SUS+PF,10012,4606.976805120906,46.89628714839824,5.4212614355513296,0.7752318603382433,0.19121658483360612,0.031642116748499725,0.22285870158210586,3.879492260942707,0.6091057517769701,0.3235874306315154
SUS+Rnd,10012,4087.083217086169,43.10576960526865,5.026908824984383,0.7549726145863361,0.20207552608820986,0.04064571922744307,0.24272124531565292,3.90106298287353,0.6072983383868549,0.32262724226801665
SU+CQI,10012,6535.058804472606,60.793508526526935,19.57733767934078,0.8288687181757803,0.17002435244631392,0.0,0.17002435244631392,1.0,0.5998657936793506,0.31867870289215494
