world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
global,SUS+EDF,10005,3834.474723629046,40.506150814640606,0.7554400779473855,0.24098733354985385,0.0,3.908657048774714,0.8886161686730668,0.9892763179804842,1.0105277185501067,0.01041426358632963,36.906494,74,610,2436,26585,74,610,2441,26902
global,SUS+EDF,10006,1713.0429549879968,40.66944812455838,0.5440539239287434,0.4499277804525758,0.0,3.9880411249492376,0.7114810823507051,0.9812547819433818,1.0146380525304293,0.014793178177706586,36.263706,1,40,346,30393,1,40,350,30977
global,SUS+EDF,10007,3062.0851513794128,58.99044020963147,0.565989847715736,0.4292724196277496,0.0,3.9961798036063008,0.8212292701934727,0.9760599298693019,1.018311259340025,0.01830699421060867,52.293114,0,8,109,30502,0,8,110,31252
global,SU+CQI,10000,987.4874372464545,66.086286874995,0.5068974166039629,0.4894657637321294,0.0,1.0,0.5340641668464601,0.9993747655370764,1.000375234521576,0.000375,64.650972,7992,0,0,0,7997,0,0,0
global,SU+CQI,10001,847.3011962792986,63.82887578923268,0.502522312766783,0.4938559047988617,0.0,1.0,0.546258977532531,1.0,1.0,0.0,61.79276,8000,0,0,0,8000,0,0,0
global,SU+CQI,10002,1985.5188610901944,56.72794037044917,0.5507926237463604,0.44581041734066645,0.0,1.0,0.6457337939013721,0.9997499374843711,1.000250062515629,0.00025,54.066766,7996,0,0,0,7998,0,0,0
global,SU+CQI,10003,-937.0900773221979,63.47689290671938,0.4481264637002342,0.5468384074941453,0.0,1.0,0.507354003713913,0.999875,1.0,0.0,61.09069,7999,0,0,0,8000,0,0,0
global,SU+CQI,10004,-1406.2462667641764,75.23052231489065,0.44419750700550775,0.5516475021741231,0.0,1.0,0.49809943109574,0.9993746091307066,1.0006253908692933,0.000625,72.716702,7990,0,0,0,7995,0,0,0
global,SU+CQI,10005,3779.9122735779843,39.423753267670705,0.7694056511854498,0.22929522572263722,0.0,1.0,0.8406321821126955,0.9998749061796347,1.0001250938203652,0.00012507817385866166,37.746274,7993,0,0,0,7994,0,0,0
global,SU+CQI,10006,2461.485166103889,43.43224968986042,0.613384689455946,0.3842079922965816,0.0,1.0,0.6946401920096584,0.9993746873436719,1.0005003126954346,0.0005,41.055452,7991,0,0,0,7996,0,0,0
global,SU+CQI,10007,2249.255704769732,55.4740698794201,0.5654822335025381,0.43248730964467,0.0,1.0,0.664859247402582,0.9992494370778083,1.0007505629221916,0.00075,52.82347,7988,0,0,0,7994,0,0,0
global,SU+Deadline-PF,10000,-3546.9745633424623,48.86579302650682,0.3472535741158766,0.646225232004013,0.0,1.0,0.5571111079691978,0.9989997499374844,1.0002502502502502,0.00025,43.744038,7990,0,0,0,7998,0,0,0
global,SU+Deadline-PF,10001,-3182.0258816156106,50.43497844834435,0.3365670676497219,0.657224162462812,0.0,1.0,0.7373720164300065,0.9986244841815681,1.0003755163349606,0.000375,40.516922,7986,0,0,0,7997,0,0,0
global,SU+Deadline-PF,10002,-470.4070701349545,49.21523842143927,0.41944354577806536,0.5753801358783566,0.0,1.0,0.7608455748550605,0.9996248593222459,1.0003751406777541,0.000375,40.21648,7994,0,0,0,7997,0,0,0
global,SU+Deadline-PF,10003,-5441.553027280417,48.282720191351025,0.2870023419203747,0.7058548009367681,0.0,1.0,0.6618034426935849,0.99925,1.0,0.0,38.462026,7994,0,0,0,8000,0,0,0
global,SU+Deadline-PF,10004,-6303.801307047378,59.553272431284405,0.2911392405063291,0.70190356556189,0.0,1.0,0.7335076109080882,0.9984990619136961,1.0005008138224616,0.000625,46.47905,7983,0,0,0,7995,0,0,0
global,SU+Deadline-PF,10005,3389.2892294071917,38.49143634016337,0.7304319584280611,0.2676193569340695,0.0,1.0,0.8459899529633905,0.9996248124062032,1.0002501563477173,0.00025006251562890725,35.797138,7993,0,0,0,7996,0,0,0
global,SU+Deadline-PF,10006,1751.6003713925356,41.26378458083644,0.5647568608570053,0.43235435724602794,0.0,1.0,0.6778973018911569,0.9983725588382574,1.001503006012024,0.0015,37.79596,7975,0,0,0,7988,0,0,0
global,SU+Deadline-PF,10007,11.934836080123528,48.26885401381514,0.44720812182741115,0.5494077834179357,0.0,1.0,0.7628495942053534,0.9987493746873437,1.0005006257822278,0.0005,40.899624,7986,0,0,0,7996,0,0,0
global,SU+PF,10000,-3818.1891177838615,50.72272491778876,0.345623275645849,0.6492350137948332,0.0,1.0,0.5493467386616017,0.9993744526460653,1.0008757662955086,0.000875,43.229636,7988,0,0,0,7993,0,0,0
global,SU+PF,10001,-3979.9594571612083,51.53032857712759,0.3224679860302678,0.6718406415728884,0.0,1.0,0.7338984383542784,0.9992494370778083,1.0007505629221916,0.00075,38.010284,7988,0,0,0,7994,0,0,0
global,SU+PF,10002,-972.1441436952201,50.16951719361553,0.41070850857327723,0.5847622128760919,0.0,1.0,0.7555071333903425,0.9998749843730467,1.0001250156269534,0.000125,39.174814,7998,0,0,0,7999,0,0,0
