p_arrival,seed,n_active,sched,reward,throughput_mbps,completion_rate,deadline_miss_rate,buffer_overflow_rate,mu_depth,mean_delay,mean_qlen,jain
0.1,10007,17,SUS+CQI,2907.5,25.05,0.8796,0.1144,0.0,2.323,2.32,3.011,0.9635
0.1,10007,17,SUS+MW,2885.2,25.06,0.8754,0.1192,0.0,2.333,2.318,3.034,0.9636
0.1,10007,17,SU+CQI,2935.4,25.21,0.8903,0.1085,0.0,1.0,1.62,1.945,0.9633
0.22,10007,17,PPO-Mixed,5422.8,50.3,0.8184,0.1785,0.0,2.008,2.282,8.184,0.8586
0.22,10007,17,SUS+CQI,4869.1,48.46,0.7652,0.2106,0.0,3.47,3.076,10.832,0.8772
0.22,10007,17,SUS+MW,4753.2,48.06,0.7549,0.2182,0.0,3.478,3.172,11.181,0.8767
0.22,10007,17,SU+CQI,4913.8,49.12,0.7865,0.2108,0.0,1.0,1.652,7.041,0.8356
0.33,10007,17,PPO-Mixed,6368.6,68.02,0.7407,0.2561,0.0,2.368,2.714,15.885,0.8045
0.33,10007,17,SUS+CQI,4785.1,61.91,0.6533,0.32,0.0,3.799,3.68,20.353,0.8192
0.33,10007,17,SUS+MW,4833.9,61.9,0.6559,0.3193,0.0,3.807,3.724,20.481,0.82
0.33,10007,17,SU+CQI,4859.5,63.38,0.6811,0.3157,0.0,1.0,1.866,14.446,0.7506
0.45,10007,17,PPO-Mixed,6269.3,82.31,0.6591,0.3368,0.00026,2.66,3.602,27.691,0.7733
0.45,10007,17,SUS+CQI,3593.6,72.05,0.557,0.4207,0.00026,3.884,4.442,33.163,0.7782
0.45,10007,17,SUS+MW,3411.8,71.12,0.5509,0.428,0.00026,3.902,4.62,33.9,0.7763
0.45,10007,17,SU+CQI,2917.6,71.64,0.5646,0.4316,0.00039,1.0,2.268,26.267,0.6721
0.5,10007,17,PPO-Mixed,5970.1,86.96,0.6311,0.365,0.00035,2.741,3.916,32.484,0.7619
0.5,10007,17,SUS+CQI,3047.4,75.83,0.5316,0.4519,0.00035,3.901,4.702,37.86,0.7545
0.5,10007,17,SUS+MW,2835.3,74.87,0.5247,0.458,0.00035,3.91,4.864,38.457,0.7564
0.5,10007,17,SU+CQI,1981.4,74.4,0.5291,0.4677,0.00059,1.0,2.272,30.116,0.6401
