seed,n_active,mean_speed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,total_fail_rate,mu_depth,jain
10018,28,15.4,SUS+PF,7411.9,75.16,14.45,0.7667,0.1838,0.0466,0.2304,4.0,0.6818
10018,28,15.4,SUS+Random,5529.5,62.35,13.67,0.7101,0.2365,0.0501,0.2866,4.0,0.6846
10018,28,15.4,SU+CQI,7986.6,83.07,27.22,0.7684,0.2298,0.0,0.2298,1.0,0.5298
10018,28,15.4,SU+Deadline-PF,6156.3,63.74,26.86,0.7582,0.2389,0.0,0.2389,1.0,0.6538
10018,28,15.4,SU+PF,5173.9,66.05,26.83,0.6887,0.3089,0.0,0.3089,1.0,0.6481
10018,28,15.4,SU+Random,2513.7,49.17,24.45,0.5787,0.4185,0.0,0.4185,1.0,0.7209
10019,31,18.9,PPO-L2b,12822.5,110.75,25.0,0.8735,0.1252,0.0,0.1252,2.284,0.6801
10019,31,18.9,SUS+CQI,12066.8,104.62,19.33,0.8601,0.1099,0.0282,0.1381,4.0,0.716
10019,31,18.9,SUS+Deadline-PF,10291.0,93.37,19.68,0.8221,0.1441,0.032,0.1761,3.999,0.6781
10019,31,18.9,SUS+PF,10201.5,95.69,19.52,0.8093,0.1537,0.0347,0.1884,3.999,0.6879
10019,31,18.9,SUS+Random,7685.6,78.08,18.45,0.7584,0.1979,0.0412,0.2391,4.0,0.7145
10019,31,18.9,SU+CQI,9088.7,93.48,32.29,0.7749,0.2233,0.0,0.2233,1.0,0.5448
10019,31,18.9,SU+Deadline-PF,7702.8,74.8,32.08,0.789,0.2081,0.0,0.2081,1.0,0.6525
10019,31,18.9,SU+PF,6523.9,78.18,32.22,0.7107,0.2869,0.0,0.2869,1.0,0.6353
10019,31,18.9,SU+Random,3257.5,57.3,29.1,0.5976,0.3992,0.0,0.3992,1.0,0.7567
