world,baseline,seed,reward,throughput_mbps,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain,first_ack_rate,attempts_per_acked,pinned_fraction,goodput_mbps,acks_m1,acks_m2,acks_m3,acks_m4,units_m1,units_m2,units_m3,units_m4
betam,SUS+PF,10005,3962.0995352361783,40.90132363094795,0.7765508281909711,0.2218252679441377,0.0,3.7768639981351324,0.8847495753804211,0.9908419604720191,1.0090507566432554,0.008968288133161141,38.01891,133,1596,5840,19804,157,1600,5860,20009
betam,SUS+PF,10006,2247.0805423618767,43.68774887989501,0.5938854116514203,0.4032258064516129,0.00024073182474723158,3.930527096711376,0.7139447640641988,0.9870678365636459,1.0124893463580935,0.012703235607848208,39.651418,4,221,2403,27521,4,225,2438,27877
betam,SUS+PF,10007,4903.853583116674,67.77868660382728,0.6629441624365482,0.33519458544839253,0.0,3.949652537926364,0.8117986108387106,0.9833652193650897,1.015908057918317,0.015671879987232684,61.581492,3,131,1541,28651,4,132,1563,29140
betam,SUS+Random,10000,715.6431818285818,66.81172774520951,0.4882116879859544,0.5072736393278154,0.0,3.9061410980182316,0.5721213638163302,0.9780899430864888,1.0201873598100013,0.020083816892327532,61.82688,1,12,2767,26951,1,12,2838,27546
betam,SUS+Random,10001,2821.616601968035,76.67530520869725,0.5406803777001682,0.4550510930021989,0.0,3.9997729093687946,0.722605158974417,0.9890775932824042,1.0098327484270764,0.010000625039064941,65.653696,0,0,6,31326,0,0,6,31672
betam,SUS+Random,10002,2854.2037073087768,64.65258260079781,0.5588806211582013,0.4369136201876415,0.0,3.999161939901556,0.7954936500992821,0.9847158802638255,1.014290704690527,0.014099477912902116,53.606844,0,6,21,31027,0,6,21,31509
betam,SUS+Random,10003,-917.1484024942393,69.655629033754,0.4241217798594848,0.5701405152224824,0.0,3.9997412991284826,0.6456626223051738,0.9846675325498147,1.0135864389562568,0.0134387598837391,56.946992,0,0,9,31074,0,0,9,31558
betam,SUS+Random,10004,647.098119839678,92.60004713264507,0.4607208425934873,0.5347376558121557,0.0,4.0,0.7324925449097074,0.9789430091427479,1.019443202860609,0.01903125,73.861434,0,0,0,30730,0,0,0,31391
betam,SUS+Random,10005,3712.2918341760683,40.31114593605896,0.7521922702176032,0.24585904514452744,0.0,3.84555225007999,0.8789171803475931,0.9912624388890815,1.0084975027746947,0.008423296431272776,36.76432,87,1074,4234,23194,108,1077,4243,23413
betam,SUS+Random,10006,2078.721119880335,42.85193517772055,0.5835339431872894,0.41333654309099666,0.00024073182474723158,3.9487191976092384,0.6974324579019349,0.9856068464730291,1.0138961038961039,0.013968355441905066,39.007128,4,111,1717,28572,4,112,1744,28988
betam,SUS+Random,10007,4077.750208972056,64.72488175369497,0.6248730964467005,0.3727580372250423,0.0,3.9735791892364216,0.7917614275775547,0.9832461405141701,1.0161357719134712,0.016042949628927838,57.779094,1,68,752,29814,2,72,760,30323
betam,SUS+MW,10000,2627.869348368239,74.22065758795668,0.5515425131677953,0.4451968898921495,0.0,3.996426300789416,0.5967340252248589,0.9785433762252945,1.0203774792066538,0.020086981008103626,70.267816,0,14,75,30558,0,14,75,31230
betam,SUS+MW,10001,5802.565449460157,86.73644905762787,0.6439011770792912,0.35338248609494244,0.0,3.995327919296295,0.7543849557455571,0.9903096493166251,1.0088160015167313,0.008915722955640368,79.295036,0,2,93,31279,0,2,95,31584
betam,SUS+MW,10002,5404.774237409055,74.2674134333361,0.6651569071497897,0.3311226140407635,0.0,3.9935020245822255,0.8149267615548799,0.9840406930535686,1.0158114083924539,0.015554581872809213,65.367574,0,12,107,30834,0,12,108,31335
betam,SUS+MW,10003,2708.887884828456,82.64584086238884,0.5327868852459017,0.46241217798594847,0.0,3.999416955057951,0.6910926309682924,0.9817759684498442,1.0173885350318472,0.017191797949487372,72.618262,0,2,18,30849,0,2,18,31422
betam,SUS+MW,10004,4837.816878387703,105.99063120283695,0.5686539762295874,0.4275775437240313,0.0,3.9999391217818383,0.7582760597308805,0.9752462581553025,1.0233303422638123,0.022844463889496548,93.676204,0,0,3,30491,0,0,3,31265
betam,SUS+MW,10005,3957.0027466729807,41.06200657773875,0.7749269243260799,0.22377395258200714,0.0,3.784723799840217,0.8854377708376419,0.9906390639063907,1.0091825711199136,0.009097395647520514,37.954334,125,1616,5460,20314,144,1621,5481,20529
betam,SUS+MW,10006,2468.4600076255206,44.69542524407775,0.6054405392392874,0.3916706788637458,0.00024073182474723158,3.924434927739368,0.7287994665133107,0.9896034262922156,1.0101096024865042,0.010193514982849006,40.453136,8,215,2532,27514,8,216,2556,27807
betam,SUS+MW,10007,6155.2678008890425,71.65142039432837,0.7196277495769882,0.27884940778341794,0.0,3.931255171366444,0.7988546568664201,0.9798778296802012,1.0198450322032235,0.019442664958360025,67.293334,3,176,1708,28110,3,181,1735,28694
betam,SUS+EDF,10000,-3256.6473425072777,49.54670242388817,0.3438675696012039,0.6491096062202157,0.0,3.9200563505028967,0.5911640898755814,0.9815799714619277,1.008517887563884,0.00858438092788477,42.993288,1,12,2592,27663,1,12,2631,28192
betam,SUS+EDF,10001,571.306747780109,64.95562763808782,0.4457379381709999,0.5480532919415341,0.0,3.9999052589001542,0.7568635668152891,0.9885956644674835,1.0051225296442687,0.005281415044220132,53.925404,0,0,3,31464,0,0,3,31827
betam,SUS+EDF,10002,1334.4225686046177,56.50682354862648,0.47153024911032027,0.5226463927531543,0.0,3.999015796504921,0.8103948709294975,0.9862542955326461,1.0084326654831346,0.008440401387977118,44.948328,0,4,21,31258,0,4,21,31694
betam,SUS+EDF,10003,-3921.6222009614266,56.25744277628366,0.3156908665105386,0.6771662763466042,0.0,3.9995412401786505,0.6909779576618966,0.9864065449968533,1.0066546249643502,0.006688754141401513,42.063818,0,0,18,31330,0,0,18,31762
betam,SUS+EDF,10004,-3481.4124174083527,72.76548973602154,0.34022610880278287,0.6528166972654362,0.0,4.0,0.8056273250046109,0.9800831967729736,1.0084816019386518,0.008375,53.966548,0,0,0,31100,0,0,0,31732
betam,SUS+EDF,10005,3700.268126143784,39.9399317893623,0.7440727508931472,0.25235466060409223,0.0,3.922771963678911,0.881179253236659,0.9924953095684803,1.0072769180111953,0.007221750212404418,36.368148,56,479,2085,27533,67,480,2092,27742
betam,SUS+EDF,10006,1605.0517466274712,40.10861110529798,0.5380356283100626,0.45594607607125665,0.0,3.9865335257597536,0.7020288152797501,0.9870863343592347,1.0095547487101089,0.009802381476012442,35.847836,0,38,388,30684,0,38,394,31085
betam,SUS+EDF,10007,2465.801637619572,56.877785638024875,0.5402707275803722,0.4548223350253807,0.0,3.997285315548035,0.8138932426875166,0.9837575987841946,1.0117703197073327,0.011981105515062408,49.745316,0,10,67,30994,0,10,69,31505
