seed,sched,reward,throughput_mbps,mean_sinr_db,completion_rate,deadline_miss_rate,retx_drop_rate,mu_depth,jain
10014,SUS+DPF,8756.8499,81.7194,12.2827,0.8115,0.1378,0.0484,3.9998,0.674
10014,SUS+PF,8682.6902,82.2913,12.2153,0.806,0.1412,0.0515,3.9998,0.6774
10014,SUS+Rnd,7225.097,71.5521,11.461,0.7757,0.1673,0.0554,3.9999,0.685
10014,SU+CQI,9743.6248,91.9583,24.0963,0.819,0.1796,0.0,1.0,0.5963
10014,SU+DPF,7623.1015,72.3885,23.6037,0.8077,0.1898,0.0,1.0,0.6615
10014,SU+PF,7060.2789,75.9885,23.8406,0.7546,0.2432,0.0,1.0,0.6513
10014,SU+Rnd,4079.7911,54.8987,21.3053,0.6666,0.3304,0.0,1.0,0.7137
10015,PPO,11840.654,100.4073,15.4684,0.8848,0.1136,0.0,2.6053,0.7357
10015,SUS+CQI,10617.4119,92.4546,11.1977,0.8584,0.1054,0.0347,3.9966,0.739
10015,SUS+DPF,8522.038,79.1256,11.317,0.8124,0.1297,0.0564,3.9984,0.6989
10015,SUS+PF,8317.3568,80.266,11.3123,0.794,0.1444,0.0595,3.9992,0.7015
10015,SUS+Rnd,7525.417,73.606,10.5068,0.7828,0.1533,0.0616,3.9996,0.7307
10015,SU+CQI,8864.689,88.3968,23.3604,0.7892,0.2089,0.0,1.0,0.5651
10015,SU+DPF,7428.9589,68.8185,22.4706,0.8153,0.1819,0.0,1.0,0.6973
10015,SU+PF,6324.2386,72.0841,22.7032,0.7303,0.2687,0.0,1.0,0.6871
10015,SU+Rnd,3788.1056,54.946,20.4871,0.644,0.3523,0.0,1.0,0.7463
10016,PPO,12333.9596,99.8444,21.6638,0.9218,0.0765,0.0006,2.8263,0.7909
10016,SUS+CQI,11362.5995,94.1054,17.9039,0.8958,0.0748,0.028,3.9749,0.7903
10016,SUS+DPF,11047.8799,92.2918,17.7389,0.8867,0.0731,0.0385,3.979,0.7845
10016,SUS+PF,10956.0308,92.6264,18.1053,0.8794,0.0821,0.0367,3.9803,0.7786
10016,SUS+Rnd,9404.5513,82.1558,17.3353,0.85,0.1021,0.0454,3.9903,0.7831
10016,SU+CQI,9976.355,91.4363,30.0303,0.8378,0.1607,0.0,1.0,0.6346
10016,SU+DPF,9195.1601,79.5786,30.2399,0.8685,0.1289,0.0,1.0,0.7251
10016,SU+PF,8476.7304,81.9563,30.3183,0.8113,0.187,0.0,1.0,0.7205
10016,SU+Rnd,5395.8802,61.0075,27.9566,0.7294,0.2682,0.0,1.0,0.8092
10017,PPO,9026.5693,70.7783,21.2237,0.9464,0.0519,0.0,2.417,0.8513
10017,SUS+CQI,8262.5152,66.2761,16.8895,0.9248,0.0531,0.0203,3.7353,0.8407
10017,SUS+DPF,8326.965,66.5863,17.0031,0.928,0.0461,0.0233,3.706,0.8482
10017,SUS+PF,8106.7814,65.1809,16.9888,0.9234,0.0506,0.0244,3.7204,0.8508
10017,SUS+Rnd,7770.8342,63.251,16.6909,0.9103,0.0595,0.0286,3.7518,0.8405
