config,sched,seed,reward,throughput_mbps,goodput_mbps,completion_rate,deadline_miss_rate,mu_depth
CSI04,SUS+CQI@0.80,30004,4393.7,74.61,70.01,0.6161,0.381,3.84
CSI04,SUS+CQI@0.80,30005,4252.4,70.4,65.82,0.6214,0.3741,3.952
CSI04,SUS+CQI@0.80,30006,4484.5,99.8,93.36,0.5736,0.4219,3.992
CSI04,SUS+CQI@0.80,30007,4178.3,57.29,55.37,0.6708,0.3247,3.469
CSI04,SU+CQI,30000,3274.8,52.19,49.75,0.6328,0.3646,1.0
CSI04,SU+CQI,30001,1564.4,73.11,71.2,0.5207,0.4758,1.0
CSI04,SU+CQI,30002,-5590.1,79.23,77.14,0.3732,0.623,1.0
CSI04,SU+CQI,30003,2062.8,38.86,36.87,0.602,0.3962,1.0
CSI04,SU+CQI,30004,2171.4,64.31,62.5,0.5473,0.4499,1.0
CSI04,SU+CQI,30005,3394.5,65.36,63.4,0.5969,0.3986,1.0
CSI04,SU+CQI,30006,-1137.7,75.47,73.08,0.4484,0.5466,1.0
CSI04,SU+CQI,30007,3939.2,55.88,54.54,0.6611,0.3364,1.0
CSI04,PPO-CQI4,30000,3487.9,51.99,50.2,0.6478,0.3492,2.263
CSI04,PPO-CQI4,30001,3749.3,81.31,79.42,0.5831,0.4133,2.556
CSI04,PPO-CQI4,30002,1919.4,107.17,104.15,0.512,0.4846,3.704
CSI04,PPO-CQI4,30003,2158.9,38.22,36.81,0.6127,0.385,1.829
CSI04,PPO-CQI4,30004,4813.5,74.2,72.24,0.6367,0.3607,3.089
CSI04,PPO-CQI4,30005,4859.0,70.4,68.96,0.6529,0.3426,2.668
CSI04,PPO-CQI4,30006,4213.3,95.07,92.36,0.5738,0.4215,3.61
CSI04,PPO-CQI4,30007,4305.6,57.2,55.96,0.6797,0.3166,2.464
STORM,SUS+CQI@0.60,30000,3530.2,113.43,110.22,0.5432,0.4531,3.995
STORM,SUS+CQI@0.60,30001,2060.6,90.87,85.75,0.5196,0.4763,3.996
STORM,SUS+CQI@0.60,30002,-4490.6,122.67,114.49,0.4094,0.5863,4.0
STORM,SUS+CQI@0.60,30003,-3139.5,80.91,74.84,0.4056,0.5903,4.0
STORM,SUS+CQI@0.60,30004,1808.0,86.28,80.69,0.5105,0.4848,3.998
STORM,SUS+CQI@0.60,30005,1084.0,109.38,102.64,0.4873,0.5083,3.989
STORM,SUS+CQI@0.60,30006,-1446.0,117.13,108.87,0.446,0.5493,4.0
STORM,SUS+CQI@0.60,30007,5015.7,101.94,98.32,0.5902,0.4065,3.963
STORM,SUS+CQI@0.65,30000,3596.2,113.66,110.49,0.5447,0.4518,3.996
STORM,SUS+CQI@0.65,30001,2085.7,91.1,85.84,0.5199,0.4761,3.989
STORM,SUS+CQI@0.65,30002,-4320.1,123.48,114.95,0.4114,0.5844,4.0
